Input,Output,ObservedProb,ExpectedProb
chup-dago,chupdago,1.0,0.8252654831870437
chup-dago,chudago,0.0,0.015135613768892357
chup-dago,chuwdago,0.0,0.13841265343782896
chup-dago,chuldago,0.0,0.02118624960623506
chup-ji,chupji,1.0,0.8754303903311981
chup-ji,chuji,0.0,0.01605565304686393
chup-ji,chuwji,0.0,0.08603987144535397
chup-ji,chulji,0.0,0.022474085176584214
gomap-daneun,gomapdaneun,1.0,0.8252654831870437
gomap-daneun,gomadaneun,0.0,0.015135613768892357
gomap-daneun,gomawdaneun,0.0,0.13841265343782896
gomap-daneun,gomaldaneun,0.0,0.02118624960623506
gomap-seumnida,gomapseumnida,1.0,0.8252654831870437
gomap-seumnida,gomaseumnida,0.0,0.015135613768892357
gomap-seumnida,gomawseumnida,0.0,0.13841265343782896
gomap-seumnida,gomalseumnida,0.0,0.02118624960623506
akkap-neyo,akkapneyo,1.0,0.8252654831870437
akkap-neyo,akkaneyo,0.0,0.015135613768892357
akkap-neyo,akkawneyo,0.0,0.13841265343782896
akkap-neyo,akkalneyo,0.0,0.02118624960623506
akkap-dago,akkapdago,1.0,0.8252654831870437
akkap-dago,akkadago,0.0,0.015135613768892357
akkap-dago,akkawdago,0.0,0.13841265343782896
akkap-dago,akkaldago,0.0,0.02118624960623506
akkap-seumnida,akkapseumnida,1.0,0.8252654831870437
akkap-seumnida,akkaseumnida,0.0,0.015135613768892357
akkap-seumnida,akkawseumnida,0.0,0.13841265343782896
akkap-seumnida,akkalseumnida,0.0,0.02118624960623506
akkap-ji,akkapji,1.0,0.8754303903311981
akkap-ji,akkaji,0.0,0.01605565304686393
akkap-ji,akkawji,0.0,0.08603987144535397
akkap-ji,akkalji,0.0,0.022474085176584214
akkap-deogunyo,akkapdeogunyo,1.0,0.8252654831870437
akkap-deogunyo,akkadeogunyo,0.0,0.015135613768892357
akkap-deogunyo,akkawdeogunyo,0.0,0.13841265343782896
akkap-deogunyo,akkaldeogunyo,0.0,0.02118624960623506
bangap-da,bangapda,1.0,0.840024208723398
bangap-da,bangada,0.0,0.015406293173266184
bangap-da,bangawda,0.0,0.12300436188490957
bangap-da,bangalda,0.0,0.021565136218426314
eoryeop-go,eoryeopgo,1.0,0.9098617597129962
eoryeop-go,eoryeogo,0.0,0.019289213353595142
eoryeop-go,eoryeowgo,0.0,0.04384872849443122
eoryeop-go,eoryeolgo,0.0,0.0270002984389774
eoryeop-da,eoryeopda,1.0,0.8195793576721196
eoryeop-da,eoryeoda,0.0,0.01737521213698082
eoryeop-da,eoryeowda,0.0,0.13872427698785397
eoryeop-da,eoryeolda,0.0,0.024321153203045804
eoryeop-daneun,eoryeopdaneun,1.0,0.8033759646062263
eoryeop-daneun,eoryeodaneun,0.0,0.017031697638691796
eoryeop-daneun,eoryeowdaneun,0.0,0.15575202292537454
eoryeop-daneun,eoryeoldaneun,0.0,0.02384031482970744
eoryeop-jiman,eoryeopjiman,1.0,0.8033759646062263
eoryeop-jiman,eoryeojiman,0.0,0.017031697638691796
eoryeop-jiman,eoryeowjiman,0.0,0.15575202292537454
eoryeop-jiman,eoryeoljiman,0.0,0.02384031482970744
budeureop-go,budeureopgo,1.0,0.9183370169257491
budeureop-go,budeureogo,0.0,0.017475543105730858
budeureop-go,budeureowgo,0.0,0.0397258473370093
budeureop-go,budeureolgo,0.0,0.024461592631511028
budeureop-seumnida,budeureopseumnida,1.0,0.8198814921394699
budeureop-seumnida,budeureoseumnida,0.0,0.015601978460411668
budeureop-seumnida,budeureowseumnida,0.0,0.1426774804483841
budeureop-seumnida,budeureolseumnida,0.0,0.021839048951734344
budeureop-ji,budeureopji,1.0,0.8713511447424823
budeureop-ji,budeureoji,0.0,0.016581422952055915
budeureop-ji,budeureowji,0.0,0.08885739465169844
budeureop-ji,budeureolji,0.0,0.023210037653763414
areumdap-seumnida,areumdapseumnida,1.0,0.8252654831870437
areumdap-seumnida,areumdaseumnida,0.0,0.015135613768892357
areumdap-seumnida,areumdawseumnida,0.0,0.13841265343782896
areumdap-seumnida,areumdalseumnida,0.0,0.02118624960623506
areumdap-da,areumdapda,1.0,0.840024208723398
areumdap-da,areumdada,0.0,0.015406293173266184
areumdap-da,areumdawda,0.0,0.12300436188490957
areumdap-da,areumdalda,0.0,0.021565136218426314
areumdap-go,areumdapgo,1.0,0.9210613871425793
areumdap-go,areumdago,0.0,0.0168925390643906
areumdap-go,areumdawgo,0.0,0.038400547779621146
areumdap-go,areumdalgo,0.0,0.023645526013409
swip-ge,swipge,1.0,0.9104727737084019
swip-ge,swige,0.0,0.016698340752995217
swip-ge,swiwge,0.0,0.049455190847078695
swip-ge,swilge,0.0,0.023373694691524456
swip-go,swipgo,1.0,0.9210613871425793
swip-go,swigo,0.0,0.0168925390643906
swip-go,swiwgo,0.0,0.038400547779621146
swip-go,swilgo,0.0,0.023645526013409
swip-da,swipda,1.0,0.840024208723398
swip-da,swida,0.0,0.015406293173266184
swip-da,swiwda,0.0,0.12300436188490957
swip-da,swilda,0.0,0.021565136218426314
swip-ji,swipji,1.0,0.8754303903311981
swip-ji,swiji,0.0,0.01605565304686393
swip-ji,swiwji,0.0,0.08603987144535397
swip-ji,swilji,0.0,0.022474085176584214
swip-daneun,swipdaneun,1.0,0.8252654831870437
swip-daneun,swidaneun,0.0,0.015135613768892357
swip-daneun,swiwdaneun,0.0,0.13841265343782896
swip-daneun,swildaneun,0.0,0.02118624960623506
aswip-neyo,aswipneyo,1.0,0.8252654831870437
aswip-neyo,aswineyo,0.0,0.015135613768892357
aswip-neyo,aswiwneyo,0.0,0.13841265343782896
aswip-neyo,aswilneyo,0.0,0.02118624960623506
aswip-goyo,aswipgoyo,1.0,0.8252654831870437
aswip-goyo,aswigoyo,0.0,0.015135613768892357
aswip-goyo,aswiwgoyo,0.0,0.13841265343782896
aswip-goyo,aswilgoyo,0.0,0.02118624960623506
aswip-jiman,aswipjiman,1.0,0.8252654831870437
aswip-jiman,aswijiman,0.0,0.015135613768892357
aswip-jiman,aswiwjiman,0.0,0.13841265343782896
aswip-jiman,aswiljiman,0.0,0.02118624960623506
aswip-ge,aswipge,1.0,0.9104727737084019
aswip-ge,aswige,0.0,0.016698340752995217
aswip-ge,aswiwge,0.0,0.049455190847078695
aswip-ge,aswilge,0.0,0.023373694691524456
aswip-da,aswipda,1.0,0.840024208723398
aswip-da,aswida,0.0,0.015406293173266184
aswip-da,aswiwda,0.0,0.12300436188490957
aswip-da,aswilda,0.0,0.021565136218426314
himgyeop-ge,himgyeopge,1.0,0.9104727737084019
himgyeop-ge,himgyeoge,0.0,0.016698340752995217
himgyeop-ge,himgyeowge,0.0,0.049455190847078695
himgyeop-ge,himgyeolge,0.0,0.023373694691524456
dop-gi,dopgi,1.0,0.85491107277889
dop-gi,dogi,0.0,0.01659120505119134
dop-gi,dowgi,0.0,0.10527399191028418
dop-gi,dolgi,0.0,0.023223730259634607
dop-get,dopget,1.0,0.8169632912415271
dop-get,doget,0.0,0.015854754857982722
dop-get,dowget,0.0,0.14498907827642685
dop-get,dolget,0.0,0.02219287562406342
dop-neunda,dopneunda,1.0,0.8169632912415271
dop-neunda,doneunda,0.0,0.015854754857982722
dop-neunda,downeunda,0.0,0.14498907827642685
dop-neunda,dolneunda,0.0,0.02219287562406342
dop-neun,dopneun,1.0,0.8774298724663325
dop-neun,doneun,0.0,0.017028225970696604
dop-neun,downeun,0.0,0.08170644624050388
dop-neun,dolneun,0.0,0.023835455322467156
deoreop-seumnida,deoreopseumnida,1.0,0.8252654831870437
deoreop-seumnida,deoreoseumnida,0.0,0.015135613768892357
deoreop-seumnida,deoreowseumnida,0.0,0.13841265343782896
deoreop-seumnida,deoreolseumnida,0.0,0.02118624960623506
deoreop-ge,deoreopge,1.0,0.9104727737084019
deoreop-ge,deoreoge,0.0,0.016698340752995217
deoreop-ge,deoreowge,0.0,0.049455190847078695
deoreop-ge,deoreolge,0.0,0.023373694691524456
deoreop-go,deoreopgo,1.0,0.9210613871425793
deoreop-go,deoreogo,0.0,0.0168925390643906
deoreop-go,deoreowgo,0.0,0.038400547779621146
deoreop-go,deoreolgo,0.0,0.023645526013409
deoreop-neyo,deoreopneyo,1.0,0.8252654831870437
deoreop-neyo,deoreoneyo,0.0,0.015135613768892357
deoreop-neyo,deoreowneyo,0.0,0.13841265343782896
deoreop-neyo,deoreolneyo,0.0,0.02118624960623506
tteugeop-ge,tteugeopge,1.0,0.9104727737084019
tteugeop-ge,tteugeoge,0.0,0.016698340752995217
tteugeop-ge,tteugeowge,0.0,0.049455190847078695
tteugeop-ge,tteugeolge,0.0,0.023373694691524456
tteugeop-ji,tteugeopji,1.0,0.8754303903311981
tteugeop-ji,tteugeoji,0.0,0.01605565304686393
tteugeop-ji,tteugeowji,0.0,0.08603987144535397
tteugeop-ji,tteugeolji,0.0,0.022474085176584214
sikkeureop-da,sikkeureopda,1.0,0.840024208723398
sikkeureop-da,sikkeureoda,0.0,0.015406293173266184
sikkeureop-da,sikkeureowda,0.0,0.12300436188490957
sikkeureop-da,sikkeureolda,0.0,0.021565136218426314
sikkeureop-go,sikkeureopgo,1.0,0.9210613871425793
sikkeureop-go,sikkeureogo,0.0,0.0168925390643906
sikkeureop-go,sikkeureowgo,0.0,0.038400547779621146
sikkeureop-go,sikkeureolgo,0.0,0.023645526013409
jeulgeop-go,jeulgeopgo,1.0,0.9210613871425793
jeulgeop-go,jeulgeogo,0.0,0.0168925390643906
jeulgeop-go,jeulgeowgo,0.0,0.038400547779621146
jeulgeop-go,jeulgeolgo,0.0,0.023645526013409
jeulgeop-ge,jeulgeopge,1.0,0.9104727737084019
jeulgeop-ge,jeulgeoge,0.0,0.016698340752995217
jeulgeop-ge,jeulgeowge,0.0,0.049455190847078695
jeulgeop-ge,jeulgeolge,0.0,0.023373694691524456
mugeop-go,mugeopgo,1.0,0.9210613871425793
mugeop-go,mugeogo,0.0,0.0168925390643906
mugeop-go,mugeowgo,0.0,0.038400547779621146
mugeop-go,mugeolgo,0.0,0.023645526013409
gakkap-ge,gakkapge,1.0,0.9104727737084019
gakkap-ge,gakkage,0.0,0.016698340752995217
gakkap-ge,gakkawge,0.0,0.049455190847078695
gakkap-ge,gakkalge,0.0,0.023373694691524456
gakkap-go,gakkapgo,1.0,0.9210613871425793
gakkap-go,gakkago,0.0,0.0168925390643906
gakkap-go,gakkawgo,0.0,0.038400547779621146
gakkap-go,gakkalgo,0.0,0.023645526013409
maep-ji,maepji,1.0,0.8722775676628023
maep-ji,maeji,0.0,0.0164620172236213
maep-ji,maewji,0.0,0.08821751700272547
maep-ji,maelji,0.0,0.0230428981108511
maep-go,maepgo,1.0,0.9189565562561964
maep-go,maego,0.0,0.017342964232570098
maep-go,maewgo,0.0,0.03942446568360764
maep-go,maelgo,0.0,0.024276013827625974
maep-ge,maepge,1.0,0.9081137726879601
maep-ge,maege,0.0,0.017138334311465324
maep-ge,maewge,0.0,0.05075831226060723
maep-ge,maelge,0.0,0.0239895807399675
maep-gi,maepgi,1.0,0.858340895656259
maep-gi,maegi,0.0,0.01619899803899822
maep-gi,maewgi,0.0,0.1027853723253065
maep-gi,maelgi,0.0,0.022674733979436368
singgeop-go,singgeopgo,1.0,0.9210613871425793
singgeop-go,singgeogo,0.0,0.0168925390643906
singgeop-go,singgeowgo,0.0,0.038400547779621146
singgeop-go,singgeolgo,0.0,0.023645526013409
maekkeureop-ge,maekkeureopge,1.0,0.9104727737084019
maekkeureop-ge,maekkeureoge,0.0,0.016698340752995217
maekkeureop-ge,maekkeureowge,0.0,0.049455190847078695
maekkeureop-ge,maekkeureolge,0.0,0.023373694691524456
museop-dago,museopdago,1.0,0.8252654831870437
museop-dago,museodago,0.0,0.015135613768892357
museop-dago,museowdago,0.0,0.13841265343782896
museop-dago,museoldago,0.0,0.02118624960623506
antakkap-seumnida,antakkapseumnida,1.0,0.8252654831870437
antakkap-seumnida,antakkaseumnida,0.0,0.015135613768892357
antakkap-seumnida,antakkawseumnida,0.0,0.13841265343782896
antakkap-seumnida,antakkalseumnida,0.0,0.02118624960623506
antakkap-ge,antakkapge,1.0,0.9104727737084019
antakkap-ge,antakkage,0.0,0.016698340752995217
antakkap-ge,antakkawge,0.0,0.049455190847078695
antakkap-ge,antakkalge,0.0,0.023373694691524456
kkadarop-gi,kkadaropgi,1.0,0.8617832317925348
kkadarop-gi,kkadarogi,0.0,0.01580536011096365
kkadarop-gi,kkadarowgi,0.0,0.1002876733381846
kkadarop-gi,kkadarolgi,0.0,0.022123734758317113
jeonggyeop-go,jeonggyeopgo,1.0,0.9210613871425793
jeonggyeop-go,jeonggyeogo,0.0,0.0168925390643906
jeonggyeop-go,jeonggyeowgo,0.0,0.038400547779621146
jeonggyeop-go,jeonggyeolgo,0.0,0.023645526013409
deop-get,deopget,1.0,0.8252654831870437
deop-get,deoget,0.0,0.015135613768892357
deop-get,deowget,0.0,0.13841265343782896
deop-get,deolget,0.0,0.02118624960623506
bukkeureop-da,bukkeureopda,1.0,0.840024208723398
