Input,Output,ObservedProb,ExpectedProb
chup-dago,chupdago,1.0,0.8252654831870437
chup-dago,chudago,0.0,0.015135613768892357
chup-dago,chuwdago,0.0,0.13841265343782896
chup-dago,chuldago,0.0,0.02118624960623506
chup-ji,chupji,1.0,0.8252654831870437
chup-ji,chuji,0.0,0.015135613768892357
chup-ji,chuwji,0.0,0.13841265343782896
chup-ji,chulji,0.0,0.02118624960623506
gomap-daneun,gomapdaneun,1.0,0.8252654831870437
gomap-daneun,gomadaneun,0.0,0.015135613768892357
gomap-daneun,gomawdaneun,0.0,0.13841265343782896
gomap-daneun,gomaldaneun,0.0,0.02118624960623506
gomap-seumnida,gomapseumnida,1.0,0.8252654831870437
gomap-seumnida,gomaseumnida,0.0,0.015135613768892357
gomap-seumnida,gomawseumnida,0.0,0.13841265343782896
gomap-seumnida,gomalseumnida,0.0,0.02118624960623506
akkap-neyo,akkapneyo,1.0,0.8252654831870437
akkap-neyo,akkaneyo,0.0,0.015135613768892357
akkap-neyo,akkawneyo,0.0,0.13841265343782896
akkap-neyo,akkalneyo,0.0,0.02118624960623506
akkap-dago,akkapdago,1.0,0.8252654831870437
akkap-dago,akkadago,0.0,0.015135613768892357
akkap-dago,akkawdago,0.0,0.13841265343782896
akkap-dago,akkaldago,0.0,0.02118624960623506
akkap-seumnida,akkapseumnida,1.0,0.8252654831870437
akkap-seumnida,akkaseumnida,0.0,0.015135613768892357
akkap-seumnida,akkawseumnida,0.0,0.13841265343782896
akkap-seumnida,akkalseumnida,0.0,0.02118624960623506
akkap-ji,akkapji,1.0,0.8252654831870437
akkap-ji,akkaji,0.0,0.015135613768892357
akkap-ji,akkawji,0.0,0.13841265343782896
akkap-ji,akkalji,0.0,0.02118624960623506
akkap-deogunyo,akkapdeogunyo,1.0,0.8252654831870437
akkap-deogunyo,akkadeogunyo,0.0,0.015135613768892357
akkap-deogunyo,akkawdeogunyo,0.0,0.13841265343782896
akkap-deogunyo,akkaldeogunyo,0.0,0.02118624960623506
bangap-da,bangapda,1.0,0.8252654831870437
bangap-da,bangada,0.0,0.015135613768892357
bangap-da,bangawda,0.0,0.13841265343782896
bangap-da,bangalda,0.0,0.02118624960623506
eoryeop-go,eoryeopgo,1.0,0.8252654831870437
eoryeop-go,eoryeogo,0.0,0.015135613768892357
eoryeop-go,eoryeowgo,0.0,0.13841265343782896
eoryeop-go,eoryeolgo,0.0,0.02118624960623506
eoryeop-da,eoryeopda,1.0,0.8252654831870437
eoryeop-da,eoryeoda,0.0,0.015135613768892357
eoryeop-da,eoryeowda,0.0,0.13841265343782896
eoryeop-da,eoryeolda,0.0,0.02118624960623506
eoryeop-daneun,eoryeopdaneun,1.0,0.8252654831870437
eoryeop-daneun,eoryeodaneun,0.0,0.015135613768892357
eoryeop-daneun,eoryeowdaneun,0.0,0.13841265343782896
eoryeop-daneun,eoryeoldaneun,0.0,0.02118624960623506
eoryeop-jiman,eoryeopjiman,1.0,0.8252654831870437
eoryeop-jiman,eoryeojiman,0.0,0.015135613768892357
eoryeop-jiman,eoryeowjiman,0.0,0.13841265343782896
eoryeop-jiman,eoryeoljiman,0.0,0.02118624960623506
budeureop-go,budeureopgo,1.0,0.8252654831870437
budeureop-go,budeureogo,0.0,0.015135613768892357
budeureop-go,budeureowgo,0.0,0.13841265343782896
budeureop-go,budeureolgo,0.0,0.02118624960623506
budeureop-seumnida,budeureopseumnida,1.0,0.8252654831870437
budeureop-seumnida,budeureoseumnida,0.0,0.015135613768892357
budeureop-seumnida,budeureowseumnida,0.0,0.13841265343782896
budeureop-seumnida,budeureolseumnida,0.0,0.02118624960623506
budeureop-ji,budeureopji,1.0,0.8252654831870437
budeureop-ji,budeureoji,0.0,0.015135613768892357
budeureop-ji,budeureowji,0.0,0.13841265343782896
budeureop-ji,budeureolji,0.0,0.02118624960623506
areumdap-seumnida,areumdapseumnida,1.0,0.8252654831870437
areumdap-seumnida,areumdaseumnida,0.0,0.015135613768892357
areumdap-seumnida,areumdawseumnida,0.0,0.13841265343782896
areumdap-seumnida,areumdalseumnida,0.0,0.02118624960623506
areumdap-da,areumdapda,1.0,0.8252654831870437
areumdap-da,areumdada,0.0,0.015135613768892357
areumdap-da,areumdawda,0.0,0.13841265343782896
areumdap-da,areumdalda,0.0,0.02118624960623506
areumdap-go,areumdapgo,1.0,0.8252654831870437
areumdap-go,areumdago,0.0,0.015135613768892357
areumdap-go,areumdawgo,0.0,0.13841265343782896
areumdap-go,areumdalgo,0.0,0.02118624960623506
swip-ge,swipge,1.0,0.8252654831870437
swip-ge,swige,0.0,0.015135613768892357
swip-ge,swiwge,0.0,0.13841265343782896
swip-ge,swilge,0.0,0.02118624960623506
swip-go,swipgo,1.0,0.8252654831870437
swip-go,swigo,0.0,0.015135613768892357
swip-go,swiwgo,0.0,0.13841265343782896
swip-go,swilgo,0.0,0.02118624960623506
swip-da,swipda,1.0,0.8252654831870437
swip-da,swida,0.0,0.015135613768892357
swip-da,swiwda,0.0,0.13841265343782896
swip-da,swilda,0.0,0.02118624960623506
swip-ji,swipji,1.0,0.8252654831870437
swip-ji,swiji,0.0,0.015135613768892357
swip-ji,swiwji,0.0,0.13841265343782896
swip-ji,swilji,0.0,0.02118624960623506
swip-daneun,swipdaneun,1.0,0.8252654831870437
swip-daneun,swidaneun,0.0,0.015135613768892357
swip-daneun,swiwdaneun,0.0,0.13841265343782896
swip-daneun,swildaneun,0.0,0.02118624960623506
aswip-neyo,aswipneyo,1.0,0.8252654831870437
aswip-neyo,aswineyo,0.0,0.015135613768892357
aswip-neyo,aswiwneyo,0.0,0.13841265343782896
aswip-neyo,aswilneyo,0.0,0.02118624960623506
aswip-goyo,aswipgoyo,1.0,0.8252654831870437
aswip-goyo,aswigoyo,0.0,0.015135613768892357
aswip-goyo,aswiwgoyo,0.0,0.13841265343782896
aswip-goyo,aswilgoyo,0.0,0.02118624960623506
aswip-jiman,aswipjiman,1.0,0.8252654831870437
aswip-jiman,aswijiman,0.0,0.015135613768892357
aswip-jiman,aswiwjiman,0.0,0.13841265343782896
aswip-jiman,aswiljiman,0.0,0.02118624960623506
aswip-ge,aswipge,1.0,0.8252654831870437
aswip-ge,aswige,0.0,0.015135613768892357
aswip-ge,aswiwge,0.0,0.13841265343782896
aswip-ge,aswilge,0.0,0.02118624960623506
aswip-da,aswipda,1.0,0.8252654831870437
aswip-da,aswida,0.0,0.015135613768892357
aswip-da,aswiwda,0.0,0.13841265343782896
aswip-da,aswilda,0.0,0.02118624960623506
himgyeop-ge,himgyeopge,1.0,0.8252654831870437
himgyeop-ge,himgyeoge,0.0,0.015135613768892357
himgyeop-ge,himgyeowge,0.0,0.13841265343782896
himgyeop-ge,himgyeolge,0.0,0.02118624960623506
dop-gi,dopgi,1.0,0.8252654831870437
dop-gi,dogi,0.0,0.015135613768892357
dop-gi,dowgi,0.0,0.13841265343782896
dop-gi,dolgi,0.0,0.02118624960623506
dop-get,dopget,1.0,0.8252654831870437
dop-get,doget,0.0,0.015135613768892357
dop-get,dowget,0.0,0.13841265343782896
dop-get,dolget,0.0,0.02118624960623506
dop-neunda,dopneunda,1.0,0.8252654831870437
dop-neunda,doneunda,0.0,0.015135613768892357
dop-neunda,downeunda,0.0,0.13841265343782896
dop-neunda,dolneunda,0.0,0.02118624960623506
dop-neun,dopneun,1.0,0.8252654831870437
dop-neun,doneun,0.0,0.015135613768892357
dop-neun,downeun,0.0,0.13841265343782896
dop-neun,dolneun,0.0,0.02118624960623506
deoreop-seumnida,deoreopseumnida,1.0,0.8252654831870437
deoreop-seumnida,deoreoseumnida,0.0,0.015135613768892357
deoreop-seumnida,deoreowseumnida,0.0,0.13841265343782896
deoreop-seumnida,deoreolseumnida,0.0,0.02118624960623506
deoreop-ge,deoreopge,1.0,0.8252654831870437
deoreop-ge,deoreoge,0.0,0.015135613768892357
deoreop-ge,deoreowge,0.0,0.13841265343782896
deoreop-ge,deoreolge,0.0,0.02118624960623506
deoreop-go,deoreopgo,1.0,0.8252654831870437
deoreop-go,deoreogo,0.0,0.015135613768892357
deoreop-go,deoreowgo,0.0,0.13841265343782896
deoreop-go,deoreolgo,0.0,0.02118624960623506
deoreop-neyo,deoreopneyo,1.0,0.8252654831870437
deoreop-neyo,deoreoneyo,0.0,0.015135613768892357
deoreop-neyo,deoreowneyo,0.0,0.13841265343782896
deoreop-neyo,deoreolneyo,0.0,0.02118624960623506
tteugeop-ge,tteugeopge,1.0,0.8252654831870437
tteugeop-ge,tteugeoge,0.0,0.015135613768892357
tteugeop-ge,tteugeowge,0.0,0.13841265343782896
tteugeop-ge,tteugeolge,0.0,0.02118624960623506
tteugeop-ji,tteugeopji,1.0,0.8252654831870437
tteugeop-ji,tteugeoji,0.0,0.015135613768892357
tteugeop-ji,tteugeowji,0.0,0.13841265343782896
tteugeop-ji,tteugeolji,0.0,0.02118624960623506
sikkeureop-da,sikkeureopda,1.0,0.8252654831870437
sikkeureop-da,sikkeureoda,0.0,0.015135613768892357
sikkeureop-da,sikkeureowda,0.0,0.13841265343782896
sikkeureop-da,sikkeureolda,0.0,0.02118624960623506
sikkeureop-go,sikkeureopgo,1.0,0.8252654831870437
sikkeureop-go,sikkeureogo,0.0,0.015135613768892357
sikkeureop-go,sikkeureowgo,0.0,0.13841265343782896
sikkeureop-go,sikkeureolgo,0.0,0.02118624960623506
jeulgeop-go,jeulgeopgo,1.0,0.8252654831870437
jeulgeop-go,jeulgeogo,0.0,0.015135613768892357
jeulgeop-go,jeulgeowgo,0.0,0.13841265343782896
jeulgeop-go,jeulgeolgo,0.0,0.02118624960623506
jeulgeop-ge,jeulgeopge,1.0,0.8252654831870437
jeulgeop-ge,jeulgeoge,0.0,0.015135613768892357
jeulgeop-ge,jeulgeowge,0.0,0.13841265343782896
jeulgeop-ge,jeulgeolge,0.0,0.02118624960623506
mugeop-go,mugeopgo,1.0,0.8252654831870437
mugeop-go,mugeogo,0.0,0.015135613768892357
mugeop-go,mugeowgo,0.0,0.13841265343782896
mugeop-go,mugeolgo,0.0,0.02118624960623506
gakkap-ge,gakkapge,1.0,0.8252654831870437
gakkap-ge,gakkage,0.0,0.015135613768892357
gakkap-ge,gakkawge,0.0,0.13841265343782896
gakkap-ge,gakkalge,0.0,0.02118624960623506
gakkap-go,gakkapgo,1.0,0.8252654831870437
gakkap-go,gakkago,0.0,0.015135613768892357
gakkap-go,gakkawgo,0.0,0.13841265343782896
gakkap-go,gakkalgo,0.0,0.02118624960623506
maep-ji,maepji,1.0,0.8252654831870437
maep-ji,maeji,0.0,0.015135613768892357
maep-ji,maewji,0.0,0.13841265343782896
maep-ji,maelji,0.0,0.02118624960623506
maep-go,maepgo,1.0,0.8252654831870437
maep-go,maego,0.0,0.015135613768892357
maep-go,maewgo,0.0,0.13841265343782896
maep-go,maelgo,0.0,0.02118624960623506
maep-ge,maepge,1.0,0.8252654831870437
maep-ge,maege,0.0,0.015135613768892357
maep-ge,maewge,0.0,0.13841265343782896
maep-ge,maelge,0.0,0.02118624960623506
maep-gi,maepgi,1.0,0.8252654831870437
maep-gi,maegi,0.0,0.015135613768892357
maep-gi,maewgi,0.0,0.13841265343782896
maep-gi,maelgi,0.0,0.02118624960623506
singgeop-go,singgeopgo,1.0,0.8252654831870437
singgeop-go,singgeogo,0.0,0.015135613768892357
singgeop-go,singgeowgo,0.0,0.13841265343782896
singgeop-go,singgeolgo,0.0,0.02118624960623506
maekkeureop-ge,maekkeureopge,1.0,0.8252654831870437
maekkeureop-ge,maekkeureoge,0.0,0.015135613768892357
maekkeureop-ge,maekkeureowge,0.0,0.13841265343782896
maekkeureop-ge,maekkeureolge,0.0,0.02118624960623506
museop-dago,museopdago,1.0,0.8252654831870437
museop-dago,museodago,0.0,0.015135613768892357
museop-dago,museowdago,0.0,0.13841265343782896
museop-dago,museoldago,0.0,0.02118624960623506
antakkap-seumnida,antakkapseumnida,1.0,0.8252654831870437
antakkap-seumnida,antakkaseumnida,0.0,0.015135613768892357
antakkap-seumnida,antakkawseumnida,0.0,0.13841265343782896
antakkap-seumnida,antakkalseumnida,0.0,0.02118624960623506
antakkap-ge,antakkapge,1.0,0.8252654831870437
antakkap-ge,antakkage,0.0,0.015135613768892357
antakkap-ge,antakkawge,0.0,0.13841265343782896
antakkap-ge,antakkalge,0.0,0.02118624960623506
kkadarop-gi,kkadaropgi,1.0,0.8252654831870437
kkadarop-gi,kkadarogi,0.0,0.015135613768892357
kkadarop-gi,kkadarowgi,0.0,0.13841265343782896
kkadarop-gi,kkadarolgi,0.0,0.02118624960623506
jeonggyeop-go,jeonggyeopgo,1.0,0.8252654831870437
jeonggyeop-go,jeonggyeogo,0.0,0.015135613768892357
jeonggyeop-go,jeonggyeowgo,0.0,0.13841265343782896
jeonggyeop-go,jeonggyeolgo,0.0,0.02118624960623506
deop-get,deopget,1.0,0.8252654831870437
deop-get,deoget,0.0,0.015135613768892357
deop-get,deowget,0.0,0.13841265343782896
deop-get,deolget,0.0,0.02118624960623506
