Morpheme,*VcV,Max,ID-C,ID-lat
General,0.0,3.9986546377703065,1.785465666793027,3.662352764607096
s0,0.0,0.0,0.0,0.0
s1,0.4730088620706817,0.0,0.0,0.0
s2,0.0,0.0,0.0,0.0
s3,0.0,0.0,0.0,0.0
s4,0.0,0.0,0.0,0.0
s5,0.0,0.0,0.0,0.0
s6,0.0,0.0,0.0,0.0
s7,0.0,0.0,1.2291452766802031,0.0
s8,0.0,0.0,0.0,0.0
s9,0.0,0.0,0.0,0.0
s10,0.036892560336743103,0.0,0.0,0.0
s11,0.0,0.0,0.0,0.0
s12,0.0,0.0,0.0,0.0
s13,0.0,0.0,0.0,0.0
s14,0.0,0.0,0.0,0.0
s15,0.0,0.0,0.0,0.0
s16,0.09775963598913745,0.0,0.0,0.0
s17,0.0,0.0,0.0,0.0
s18,0.0,0.0,0.0,0.0
s19,0.0,0.0,0.0,0.0
s20,0.0,0.0,0.0,0.0
s21,0.0,0.0,0.0,0.0
s22,0.0,0.0,0.0,0.0
s23,0.5886402634004787,0.0,1.211757673567011,0.0
s24,0.056529921455554175,0.0,0.0,0.0
s25,0.0,0.0,0.0,0.0
s26,0.0,0.0,0.0,0.0
s27,0.0,0.0,0.0,0.0
s28,0.0,0.0,0.0,0.0
s29,0.0,0.0,0.0,0.0
s30,0.0,0.0,0.0,0.0
s31,0.1449080082780601,0.0,0.0,0.0
s32,0.0,0.0,1.1914232263818891,0.0
s33,0.0,0.0,0.0,0.0
s34,0.0,0.0,0.0,0.0
s35,0.0,0.0,0.5621832049304969,0.0
s36,0.0,0.0,0.0,0.0
s37,0.0,0.0,0.0,0.0
s38,0.0,0.0,0.0,0.0
s39,0.0,0.0,0.0,0.0
s40,0.0,0.0,0.0,0.0
s41,0.0,0.0,0.0,0.0
s42,0.07535852177395633,0.0,0.0,0.0
s43,0.0,0.0,0.0,0.0
s44,0.0,0.0,0.0,0.0
s45,0.0,0.0,0.0,0.0
s46,0.0,0.0,0.0,0.0
s47,0.0,0.0,0.0,0.0
s48,0.0,0.0,0.0,0.0
s49,0.0,0.0,0.0,0.0
s50,0.0,0.0,0.0,0.0
s51,0.0,0.0,0.8222232751443145,0.0
s52,0.0,0.0,1.6595630502093328,0.0
s53,0.0,0.0,0.12541647800015396,0.0
s54,0.0,0.0,0.0,0.0
s55,0.0,0.0,0.0,0.0
s56,0.0,0.0,0.0,0.0
s57,2.916217551213475,0.0,2.880902955521377,1.4341545480937408
s58,0.0,0.0,0.0,0.0
s59,0.0,0.0,0.0,0.0
s60,0.0,0.0,0.0,0.0
s61,0.0,0.0,0.0,0.0
s62,0.0,0.0,0.0,0.0
s63,0.0,0.0,0.0,0.0
s64,0.0,0.0,0.0,0.0
s65,0.028602693787108415,0.0,0.0,0.0
s66,0.0,0.0,0.0,0.0
s67,0.0,0.0,0.515871059135856,0.0
s68,0.0,0.0,0.0,0.0
s69,0.0,0.0,0.0,0.0
s70,0.0,0.0,0.0,0.0
s71,0.7411379250305262,0.0,1.1952028936860262,0.0
s72,0.0,0.0,0.0,0.0
s73,0.0,0.0,0.0,0.0
s74,0.0,0.0,0.0,0.0
s75,0.0,0.0,0.0,0.0
s76,0.0,0.0,0.0,0.0
s77,0.0,0.0,0.0,0.0
s78,0.0,0.0,0.0,0.0
s79,0.0,0.0,0.0,0.0
s80,0.0,0.0,0.0,0.0
s81,0.0,0.0,0.0,0.0
s82,1.9708807121880807,0.0,1.5318672437653702,0.0
s83,0.0,0.0,0.0,0.0
s84,0.0,0.0,0.0,0.0
s85,0.0,0.0,0.0,0.0
s86,0.0,0.0,0.0,0.0
s87,0.0,0.0,0.0,0.0
s88,0.0,0.0,0.0,0.0
s89,0.0,0.0,0.0,0.0
s90,0.0,0.0,0.3603888536989968,0.0
s91,0.0,0.0,0.07663963823744131,0.0
s92,0.0,0.0,0.0,0.0
s93,0.0,0.0,0.0,0.0
p0,0.0,0.0,0.0,0.0
p1,0.0,0.0,0.0,0.0
p2,0.0,0.0,0.0,0.0
p3,0.0,0.0,0.0,0.0
p4,0.0,0.0,0.0,0.0
p5,0.0,0.0,0.0,0.0
p6,0.0,0.0,0.13574522731527552,0.0
p7,0.0,0.0,0.0,0.0
p8,0.0,0.0,0.0,0.0
p9,0.0,0.0,0.0,0.0
p10,0.0,0.0,0.0,0.0
p11,0.0,0.0,0.0,0.0
p12,0.0,0.0,0.0,0.0
p13,2.154558694508281,0.0,0.2092608479722401,0.0
p14,1.7988425717562164,0.0,0.0,0.0
p15,2.698118507090255,0.0,0.0,0.0
p16,2.155823408021454,0.0,0.0,0.0
p17,0.0,0.0,0.0,0.0
p18,0.0,0.0,0.0,0.0
p19,2.6427407577704924,0.0,0.0,0.0
p20,0.38856065344110224,0.0,0.21395515491876121,0.0
p21,0.0,0.0,0.0,0.0
p22,0.0,0.0,0.0,0.0
p23,0.0,0.0,0.0,0.0
p24,0.0,0.0,0.0,0.0
p25,1.58020952535227,0.0,1.8180734167799462,0.0
p26,0.0,0.0,0.0,0.0
p27,0.0,0.0,0.0,0.0
p28,0.0,0.0,0.0,0.0
p29,0.0,0.0,0.0,0.0
p30,0.0,0.0,0.0,0.0
p31,0.0,0.0,0.0,0.0
p32,0.0,0.0,1.1274313051666895,0.0
p33,0.0,0.0,0.0,0.0
p34,0.0,0.0,0.0,0.0
p35,0.0,0.0,0.3654953115171731,0.0
p36,0.0,0.0,1.391989295361234,0.0
p37,0.0,0.0,0.0,0.0
p38,0.0,0.0,0.0,0.0
p39,0.0,0.0,0.0,0.0
p40,0.0,0.0,0.0,0.0
p41,0.0,0.0,0.0,0.0
p42,0.0,0.0,0.5344391630262342,0.0
p43,0.0,0.0,0.0,0.0
p44,3.122191753825946,0.0,0.0,0.0
p45,1.5323071040343643,0.0,0.0,0.0
p46,1.5120503734451896,0.0,0.0,0.0
p47,0.0,0.0,0.0,0.0
p48,0.0,0.0,0.0,0.0
p49,5.045034641281726,0.3657033748271742,0.0,1.395091465881379
p50,0.0,0.0,0.0,0.0
p51,0.0,0.0,0.0,0.0
p52,0.0,0.0,0.0,0.0
p53,0.0,0.0,0.6449283892857303,0.0
p54,0.0,0.0,0.0,0.0
p55,0.0,0.0,0.0,0.0
p56,0.0,0.0,0.0,0.0
p57,0.0,0.0,0.0,0.0
p58,0.0,0.0,0.0,0.0
p59,0.0,0.0,0.0,0.0
