type	form	id
stem	akkap	s0
stem	ansseureop	s1
stem	antakkap	s2
stem	areumdap	s3
stem	aswip	s4
stem	bangap	s5
stem	barojap	s6
stem	bat	s7
stem	beorimbat	s8
stem	beos	s9
stem	budeureop	s10
stem	bukkeureop	s11
stem	bus	s12
stem	but	s13
stem	butjap	s14
stem	byas	s15
stem	chagap	s16
stem	charyeip	s17
stem	chisos	s18
stem	chup	s19
stem	dat	s20
stem	deop	s21
stem	deoreop	s22
stem	deut	s23
stem	dop	s24
stem	dukkeop	s25
stem	duryeop	s26
stem	duteop	s27
stem	dwijip	s28
stem	dwis	s29
stem	eodup	s30
stem	eoryeop	s31
stem	eot	s32
stem	gabyeop	s33
stem	gakkap	s34
stem	geot	s35
stem	geurip	s36
stem	git	s37
stem	goerop	s38
stem	gomap	s39
stem	gop	s40
stem	got	s41
stem	gup	s42
stem	gut	s43
stem	gwiyeop	s44
stem	himgyeop	s45
stem	himip	s46
stem	hwijip	s47
stem	ieobat	s48
stem	ilkkeut	s49
stem	injeongbat	s50
stem	ip	s51
stem	is	s52
stem	jap	s53
stem	jeonggyeop	s54
stem	jeulgeop	s55
stem	jip	s56
stem	jis	s57
stem	jjip	s58
stem	johas	s59
stem	kkadarop	s60
stem	kkaedat	s61
stem	kkojip	s62
stem	maedeupjis	s63
stem	maekkeureop	s64
stem	maep	s65
stem	maeseop	s66
stem	mit	s67
stem	mugeop	s68
stem	mulryeobat	s69
stem	museop	s70
stem	mut	s71
stem	nas	s72
stem	nollap	s73
stem	nongsajis	s74
stem	nup	s75
stem	oerop	s76
stem	ppaeas	s77
stem	saerop	s78
stem	sarojap	s79
stem	sikkeureop	s80
stem	singgeop	s81
stem	sit	s82
stem	sonjap	s83
stem	sonswip	s84
stem	ssip	s85
stem	ssis	s86
stem	ssot	s87
stem	swip	s88
stem	tteugeop	s89
stem	tteut	s90
stem	us	s91
stem	useup	s92
stem	yeonis	s93
suffix	a	p0
suffix	ado	p1
suffix	aseo	p2
suffix	at	p3
suffix	aya	p4
suffix	ayo	p5
suffix	da	p6
suffix	daga	p7
suffix	dago	p8
suffix	daneun	p9
suffix	deogunyo	p10
suffix	deon	p11
suffix	dorok	p12
suffix	eo	p13
suffix	eodo	p14
suffix	eoseo	p15
suffix	eot	p16
suffix	eotseot	p17
suffix	eoya	p18
suffix	eoyo	p19
suffix	eul	p20
suffix	eum	p21
suffix	eumyeo	p22
suffix	eumyeon	p23
suffix	eumyeonse	p24
suffix	eun	p25
suffix	euna	p26
suffix	euni	p27
suffix	eureo	p28
suffix	eureoneun	p29
suffix	euseyo	p30
suffix	eusi	p31
suffix	ge	p32
suffix	geona	p33
suffix	get	p34
suffix	gi	p35
suffix	go	p36
suffix	goyo	p37
suffix	guyo	p38
suffix	ja	p39
suffix	jamaja	p40
suffix	janeun	p41
suffix	ji	p42
suffix	jiman	p43
suffix	l	p44
suffix	m	p45
suffix	myeo	p46
suffix	myeon	p47
suffix	myeonse	p48
suffix	n	p49
suffix	na	p50
suffix	nayo	p51
suffix	nde	p52
suffix	neun	p53
suffix	neunda	p54
suffix	neundago	p55
suffix	neunde	p56
suffix	neureago	p57
suffix	neyo	p58
suffix	seumnida	p59
