s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	p0	p1
			*V-Obs-V	Max	ID-lat
tat-a$$$s0$p0	tata	0.0	1	0	0
	tala	1.0	0	0	1
	taa	0.0	0	1	0
tat-ta$$$s0$p1	tatta	1.0	0	0	0
	talta	0.0	0	0	1
	tata	0.0	0	1	0
jat-a$$$s1$p0	jata	0.0	1	0	0
	jala	1.0	0	0	1
	jaa	0.0	0	1	0
jat-ta$$$s1$p1	jatta	1.0	0	0	0
	jalta	0.0	0	0	1
	jata	0.0	0	1	0
ket-a$$$s2$p0	keta	0.0	1	0	0
	kela	1.0	0	0	1
	kea	0.0	0	1	0
ket-ta$$$s2$p1	ketta	1.0	0	0	0
	kelta	0.0	0	0	1
	keta	0.0	0	1	0
pot-a$$$s3$p0	pota	0.0	1	0	0
	pola	1.0	0	0	1
	poa	0.0	0	1	0
pot-ta$$$s3$p1	potta	1.0	0	0	0
	polta	0.0	0	0	1
	pota	0.0	0	1	0
chit-a$$$s4$p0	chita	0.0	1	0	0
	chila	1.0	0	0	1
	chia	0.0	0	1	0
chit-ta$$$s4$p1	chitta	1.0	0	0	0
	chilta	0.0	0	0	1
	chita	0.0	0	1	0
ppeut-a$$$s5$p0	ppeuta	1.0	1	0	0
	ppeula	0.0	0	0	1
	ppeua	0.0	0	1	0
ppeut-ta$$$s5$p1	ppeutta	1.0	0	0	0
	ppeulta	0.0	0	0	1
	ppeuta	0.0	0	1	0
goet-a$$$s6$p0	goeta	1.0	1	0	0
	goela	0.0	0	0	1
	goea	0.0	0	1	0
goet-ta$$$s6$p1	goetta	1.0	0	0	0
	goelta	0.0	0	0	1
	goeta	0.0	0	1	0
jot-a$$$s7$p0	jota	1.0	1	0	0
	jola	0.0	0	0	1
	joa	0.0	0	1	0
jot-ta$$$s7$p1	jotta	1.0	0	0	0
	jolta	0.0	0	0	1
	jota	0.0	0	1	0
pput-a$$$s8$p0	pputa	1.0	1	0	0
	ppula	0.0	0	0	1
	ppua	0.0	0	1	0
pput-ta$$$s8$p1	pputta	1.0	0	0	0
	ppulta	0.0	0	0	1
	pputa	0.0	0	1	0
nat-a$$$s9$p0	nata	1.0	1	0	0
	nala	0.0	0	0	1
	naa	0.0	0	1	0
nat-ta$$$s9$p1	natta	1.0	0	0	0
	nalta	0.0	0	0	1
	nata	0.0	0	1	0
kkut-a$$$s10$p0	kkuta	1.0	1	0	0
	kkula	0.0	0	0	1
	kkua	0.0	0	1	0
kkut-ta$$$s10$p1	kkutta	1.0	0	0	0
	kkulta	0.0	0	0	1
	kkuta	0.0	0	1	0
sit-a$$$s11$p0	sita	1.0	1	0	0
	sila	0.0	0	0	1
	sia	0.0	0	1	0
sit-ta$$$s11$p1	sitta	1.0	0	0	0
	silta	0.0	0	0	1
	sita	0.0	0	1	0
ges-a$$$s12$p0	gesa	0.0	1	0	0
	gela	0.0	0	0	1
	gea	1.0	0	1	0
ges-ta$$$s12$p1	getta	1.0	0	0	0
	gelta	0.0	0	0	1
	geta	0.0	0	1	0
kkaes-a$$$s13$p0	kkaesa	0.0	1	0	0
	kkaela	0.0	0	0	1
	kkaea	1.0	0	1	0
kkaes-ta$$$s13$p1	kkaetta	1.0	0	0	0
	kkaelta	0.0	0	0	1
	kkaeta	0.0	0	1	0
hoes-a$$$s14$p0	hoesa	0.0	1	0	0
	hoela	0.0	0	0	1
	hoea	1.0	0	1	0
hoes-ta$$$s14$p1	hoetta	1.0	0	0	0
	hoelta	0.0	0	0	1
	hoeta	0.0	0	1	0
koes-a$$$s15$p0	koesa	0.0	1	0	0
	koela	0.0	0	0	1
	koea	1.0	0	1	0
koes-ta$$$s15$p1	koetta	1.0	0	0	0
	koelta	0.0	0	0	1
	koeta	0.0	0	1	0
nos-a$$$s16$p0	nosa	0.0	1	0	0
	nola	0.0	0	0	1
	noa	1.0	0	1	0
nos-ta$$$s16$p1	notta	1.0	0	0	0
	nolta	0.0	0	0	1
	nota	0.0	0	1	0
poes-a$$$s17$p0	poesa	1.0	1	0	0
	poela	0.0	0	0	1
	poea	0.0	0	1	0
poes-ta$$$s17$p1	poetta	1.0	0	0	0
	poelta	0.0	0	0	1
	poeta	0.0	0	1	0
meos-a$$$s18$p0	meosa	1.0	1	0	0
	meola	0.0	0	0	1
	meoa	0.0	0	1	0
meos-ta$$$s18$p1	meotta	1.0	0	0	0
	meolta	0.0	0	0	1
	meota	0.0	0	1	0
jjaes-a$$$s19$p0	jjaesa	1.0	1	0	0
	jjaela	0.0	0	0	1
	jjaea	0.0	0	1	0
jjaes-ta$$$s19$p1	jjaetta	1.0	0	0	0
	jjaelta	0.0	0	0	1
	jjaeta	0.0	0	1	0
ches-a$$$s20$p0	chesa	1.0	1	0	0
	chela	0.0	0	0	1
	chea	0.0	0	1	0
ches-ta$$$s20$p1	chetta	1.0	0	0	0
	chelta	0.0	0	0	1
	cheta	0.0	0	1	0
