s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	p0	p1	p2	p3	p4	p5
			*V-Obs-V	Max	ID-lat
tat-a$$$s0$p0	tata	0.0	1	0	0
	tala	1.0	0	0	1
	taa	0.0	0	1	0
tat-ta$$$s0$p1	tatta	1.0	0	0	0
	talta	0.0	0	0	1
	tata	0.0	0	1	0
tat-e$$$s0$p2	tate	0.0	1	0	0
	tale	1.0	0	0	1
	tae	0.0	0	1	0
tat-te$$$s0$p3	tatte	1.0	0	0	0
	talte	0.0	0	0	1
	tate	0.0	0	1	0
tat-i$$$s0$p4	tati	0.0	1	0	0
	tali	1.0	0	0	1
	tai	0.0	0	1	0
tat-ti$$$s0$p5	tatti	1.0	0	0	0
	talti	0.0	0	0	1
	tati	0.0	0	1	0
jat-a$$$s1$p0	jata	0.0	1	0	0
	jala	1.0	0	0	1
	jaa	0.0	0	1	0
jat-ta$$$s1$p1	jatta	1.0	0	0	0
	jalta	0.0	0	0	1
	jata	0.0	0	1	0
jat-e$$$s1$p2	jate	0.0	1	0	0
	jale	1.0	0	0	1
	jae	0.0	0	1	0
jat-te$$$s1$p3	jatte	1.0	0	0	0
	jalte	0.0	0	0	1
	jate	0.0	0	1	0
jat-i$$$s1$p4	jati	0.0	1	0	0
	jali	1.0	0	0	1
	jai	0.0	0	1	0
jat-ti$$$s1$p5	jatti	1.0	0	0	0
	jalti	0.0	0	0	1
	jati	0.0	0	1	0
ket-a$$$s2$p0	keta	0.0	1	0	0
	kela	1.0	0	0	1
	kea	0.0	0	1	0
ket-ta$$$s2$p1	ketta	1.0	0	0	0
	kelta	0.0	0	0	1
	keta	0.0	0	1	0
ket-e$$$s2$p2	kete	0.0	1	0	0
	kele	1.0	0	0	1
	kee	0.0	0	1	0
ket-te$$$s2$p3	kette	1.0	0	0	0
	kelte	0.0	0	0	1
	kete	0.0	0	1	0
ket-i$$$s2$p4	keti	0.0	1	0	0
	keli	1.0	0	0	1
	kei	0.0	0	1	0
ket-ti$$$s2$p5	ketti	1.0	0	0	0
	kelti	0.0	0	0	1
	keti	0.0	0	1	0
pot-a$$$s3$p0	pota	0.0	1	0	0
	pola	1.0	0	0	1
	poa	0.0	0	1	0
pot-ta$$$s3$p1	potta	1.0	0	0	0
	polta	0.0	0	0	1
	pota	0.0	0	1	0
pot-e$$$s3$p2	pote	0.0	1	0	0
	pole	1.0	0	0	1
	poe	0.0	0	1	0
pot-te$$$s3$p3	potte	1.0	0	0	0
	polte	0.0	0	0	1
	pote	0.0	0	1	0
pot-i$$$s3$p4	poti	0.0	1	0	0
	poli	1.0	0	0	1
	poi	0.0	0	1	0
pot-ti$$$s3$p5	potti	1.0	0	0	0
	polti	0.0	0	0	1
	poti	0.0	0	1	0
chit-a$$$s4$p0	chita	0.0	1	0	0
	chila	1.0	0	0	1
	chia	0.0	0	1	0
chit-ta$$$s4$p1	chitta	1.0	0	0	0
	chilta	0.0	0	0	1
	chita	0.0	0	1	0
chit-e$$$s4$p2	chite	0.0	1	0	0
	chile	1.0	0	0	1
	chie	0.0	0	1	0
chit-te$$$s4$p3	chitte	1.0	0	0	0
	chilte	0.0	0	0	1
	chite	0.0	0	1	0
chit-i$$$s4$p4	chiti	0.0	1	0	0
	chili	1.0	0	0	1
	chii	0.0	0	1	0
chit-ti$$$s4$p5	chitti	1.0	0	0	0
	chilti	0.0	0	0	1
	chiti	0.0	0	1	0
ppeut-a$$$s5$p0	ppeuta	1.0	1	0	0
	ppeula	0.0	0	0	1
	ppeua	0.0	0	1	0
ppeut-ta$$$s5$p1	ppeutta	1.0	0	0	0
	ppeulta	0.0	0	0	1
	ppeuta	0.0	0	1	0
ppeut-e$$$s5$p2	ppeute	1.0	1	0	0
	ppeule	0.0	0	0	1
	ppeue	0.0	0	1	0
ppeut-te$$$s5$p3	ppeutte	1.0	0	0	0
	ppeulte	0.0	0	0	1
	ppeute	0.0	0	1	0
ppeut-i$$$s5$p4	ppeuti	1.0	1	0	0
	ppeuli	0.0	0	0	1
	ppeui	0.0	0	1	0
ppeut-ti$$$s5$p5	ppeutti	1.0	0	0	0
	ppeulti	0.0	0	0	1
	ppeuti	0.0	0	1	0
goet-a$$$s6$p0	goeta	1.0	1	0	0
	goela	0.0	0	0	1
	goea	0.0	0	1	0
goet-ta$$$s6$p1	goetta	1.0	0	0	0
	goelta	0.0	0	0	1
	goeta	0.0	0	1	0
goet-e$$$s6$p2	goete	1.0	1	0	0
	goele	0.0	0	0	1
	goee	0.0	0	1	0
goet-te$$$s6$p3	goette	1.0	0	0	0
	goelte	0.0	0	0	1
	goete	0.0	0	1	0
goet-i$$$s6$p4	goeti	1.0	1	0	0
	goeli	0.0	0	0	1
	goei	0.0	0	1	0
goet-ti$$$s6$p5	goetti	1.0	0	0	0
	goelti	0.0	0	0	1
	goeti	0.0	0	1	0
jot-a$$$s7$p0	jota	1.0	1	0	0
	jola	0.0	0	0	1
	joa	0.0	0	1	0
jot-ta$$$s7$p1	jotta	1.0	0	0	0
	jolta	0.0	0	0	1
	jota	0.0	0	1	0
jot-e$$$s7$p2	jote	1.0	1	0	0
	jole	0.0	0	0	1
	joe	0.0	0	1	0
jot-te$$$s7$p3	jotte	1.0	0	0	0
	jolte	0.0	0	0	1
	jote	0.0	0	1	0
jot-i$$$s7$p4	joti	1.0	1	0	0
