Morpheme,*V-Obs-V,Max,ID-lat
General,2.197457767282906,3.2581200705697855,3.2581200705697855
s0,0.36730349119053696,0.0,0.0
s1,0.36730349119053696,0.0,0.0
s2,0.36730349119053696,0.0,0.0
s3,0.36730349119053696,0.0,0.0
s4,0.36730349119053696,0.0,0.0
s5,0.0,0.0,0.0
s6,0.0,0.0,0.0
s7,0.0,0.0,0.0
s8,0.0,0.0,0.0
s9,0.0,0.0,0.0
s10,0.0,0.0,0.0
s11,0.0,0.0,0.0
s12,0.36730349119053696,0.0,0.0
s13,0.36730349119053696,0.0,0.0
s14,0.36730349119053696,0.0,0.0
s15,0.36730349119053696,0.0,0.0
s16,0.36730349119053696,0.0,0.0
s17,0.0,0.0,0.0
s18,0.0,0.0,0.0
s19,0.0,0.0,0.0
s20,0.0,0.0,0.0
p0,0.0,0.0,0.0
p1,0.0,0.0,0.0
p2,0.0,0.0,0.0
p3,0.0,0.0,0.0
