Input,Output,ObservedProb,ExpectedProb
tat-a,tata,0.0,0.20014443464442186
tat-a,tala,1.0,0.6053373329180785
tat-a,taa,0.0,0.1945182324374997
tat-ta,tatta,1.0,0.977327517631999
tat-ta,talta,0.0,0.017158722901648632
tat-ta,tata,0.0,0.005513759466352347
tat-e,tate,0.0,0.20014443464442186
tat-e,tale,1.0,0.6053373329180785
tat-e,tae,0.0,0.1945182324374997
tat-te,tatte,1.0,0.977327517631999
tat-te,talte,0.0,0.017158722901648632
tat-te,tate,0.0,0.005513759466352347
tat-i,tati,0.0,0.20014443464442186
tat-i,tali,1.0,0.6053373329180785
tat-i,tai,0.0,0.1945182324374997
tat-ti,tatti,1.0,0.977327517631999
tat-ti,talti,0.0,0.017158722901648632
tat-ti,tati,0.0,0.005513759466352347
tat-o,tato,0.0,0.20014443464442186
tat-o,talo,1.0,0.6053373329180785
tat-o,tao,0.0,0.1945182324374997
tat-to,tatto,1.0,0.977327517631999
tat-to,talto,0.0,0.017158722901648632
tat-to,tato,0.0,0.005513759466352347
tat-u,tatu,0.0,0.20014443464442186
tat-u,talu,1.0,0.6053373329180785
tat-u,tau,0.0,0.1945182324374997
tat-tu,tattu,1.0,0.977327517631999
tat-tu,taltu,0.0,0.017158722901648632
tat-tu,tatu,0.0,0.005513759466352347
jat-a,jata,0.0,0.20014443464442186
jat-a,jala,1.0,0.6053373329180785
jat-a,jaa,0.0,0.1945182324374997
jat-ta,jatta,1.0,0.977327517631999
jat-ta,jalta,0.0,0.017158722901648632
jat-ta,jata,0.0,0.005513759466352347
jat-e,jate,0.0,0.20014443464442186
jat-e,jale,1.0,0.6053373329180785
jat-e,jae,0.0,0.1945182324374997
jat-te,jatte,1.0,0.977327517631999
jat-te,jalte,0.0,0.017158722901648632
jat-te,jate,0.0,0.005513759466352347
jat-i,jati,0.0,0.20014443464442186
jat-i,jali,1.0,0.6053373329180785
jat-i,jai,0.0,0.1945182324374997
jat-ti,jatti,1.0,0.977327517631999
jat-ti,jalti,0.0,0.017158722901648632
jat-ti,jati,0.0,0.005513759466352347
jat-o,jato,0.0,0.20014443464442186
jat-o,jalo,1.0,0.6053373329180785
jat-o,jao,0.0,0.1945182324374997
jat-to,jatto,1.0,0.977327517631999
jat-to,jalto,0.0,0.017158722901648632
jat-to,jato,0.0,0.005513759466352347
jat-u,jatu,0.0,0.20014443464442186
jat-u,jalu,1.0,0.6053373329180785
jat-u,jau,0.0,0.1945182324374997
jat-tu,jattu,1.0,0.977327517631999
jat-tu,jaltu,0.0,0.017158722901648632
jat-tu,jatu,0.0,0.005513759466352347
ket-a,keta,0.0,0.20014443464442186
ket-a,kela,1.0,0.6053373329180785
ket-a,kea,0.0,0.1945182324374997
ket-ta,ketta,1.0,0.977327517631999
ket-ta,kelta,0.0,0.017158722901648632
ket-ta,keta,0.0,0.005513759466352347
ket-e,kete,0.0,0.20014443464442186
ket-e,kele,1.0,0.6053373329180785
ket-e,kee,0.0,0.1945182324374997
ket-te,kette,1.0,0.977327517631999
ket-te,kelte,0.0,0.017158722901648632
ket-te,kete,0.0,0.005513759466352347
ket-i,keti,0.0,0.20014443464442186
ket-i,keli,1.0,0.6053373329180785
ket-i,kei,0.0,0.1945182324374997
ket-ti,ketti,1.0,0.977327517631999
ket-ti,kelti,0.0,0.017158722901648632
ket-ti,keti,0.0,0.005513759466352347
ket-o,keto,0.0,0.20014443464442186
ket-o,kelo,1.0,0.6053373329180785
ket-o,keo,0.0,0.1945182324374997
ket-to,ketto,1.0,0.977327517631999
ket-to,kelto,0.0,0.017158722901648632
ket-to,keto,0.0,0.005513759466352347
ket-u,ketu,0.0,0.20014443464442186
ket-u,kelu,1.0,0.6053373329180785
ket-u,keu,0.0,0.1945182324374997
ket-tu,kettu,1.0,0.977327517631999
ket-tu,keltu,0.0,0.017158722901648632
ket-tu,ketu,0.0,0.005513759466352347
pot-a,pota,0.0,0.20014443464442186
pot-a,pola,1.0,0.6053373329180785
pot-a,poa,0.0,0.1945182324374997
pot-ta,potta,1.0,0.977327517631999
pot-ta,polta,0.0,0.017158722901648632
pot-ta,pota,0.0,0.005513759466352347
pot-e,pote,0.0,0.20014443464442186
pot-e,pole,1.0,0.6053373329180785
pot-e,poe,0.0,0.1945182324374997
pot-te,potte,1.0,0.977327517631999
pot-te,polte,0.0,0.017158722901648632
pot-te,pote,0.0,0.005513759466352347
pot-i,poti,0.0,0.20014443464442186
