s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	s65	s66	s67	s68	s69	s70	s71	s72	s73	s74	s75	s76	s77	s78	s79	s80	s81	s82	s83	s84	s85	s86	s87	s88	s89	s90	s91	s92	s93	p0	p1
			*V-Obs-V	Max	ID-C	ID-lat
neop-a$$$s0$p0	neopa	0.0	1	0	0	0
	neowa	1.0	0	0	1	0
	neola	0.0	0	0	0	1
	neoa	0.0	0	1	0	0
neop-ta$$$s0$p1	neopta	1.0	0	0	0	0
	neowta	0.0	0	0	1	0
	neolta	0.0	0	0	0	1
	neota	0.0	0	1	0	0
ppaep-a$$$s1$p0	ppaepa	0.0	1	0	0	0
	ppaewa	1.0	0	0	1	0
	ppaela	0.0	0	0	0	1
	ppaea	0.0	0	1	0	0
ppaep-ta$$$s1$p1	ppaepta	1.0	0	0	0	0
	ppaewta	0.0	0	0	1	0
	ppaelta	0.0	0	0	0	1
	ppaeta	0.0	0	1	0	0
sep-a$$$s2$p0	sepa	0.0	1	0	0	0
	sewa	1.0	0	0	1	0
	sela	0.0	0	0	0	1
	sea	0.0	0	1	0	0
sep-ta$$$s2$p1	septa	1.0	0	0	0	0
	sewta	0.0	0	0	1	0
	selta	0.0	0	0	0	1
	seta	0.0	0	1	0	0
ssep-a$$$s3$p0	ssepa	0.0	1	0	0	0
	ssewa	1.0	0	0	1	0
	ssela	0.0	0	0	0	1
	ssea	0.0	0	1	0	0
ssep-ta$$$s3$p1	ssepta	1.0	0	0	0	0
	ssewta	0.0	0	0	1	0
	sselta	0.0	0	0	0	1
	sseta	0.0	0	1	0	0
gop-a$$$s4$p0	gopa	0.0	1	0	0	0
	gowa	1.0	0	0	1	0
	gola	0.0	0	0	0	1
	goa	0.0	0	1	0	0
gop-ta$$$s4$p1	gopta	1.0	0	0	0	0
	gowta	0.0	0	0	1	0
	golta	0.0	0	0	0	1
	gota	0.0	0	1	0	0
bwip-a$$$s5$p0	bwipa	0.0	1	0	0	0
	bwiwa	1.0	0	0	1	0
	bwila	0.0	0	0	0	1
	bwia	0.0	0	1	0	0
bwip-ta$$$s5$p1	bwipta	1.0	0	0	0	0
	bwiwta	0.0	0	0	1	0
	bwilta	0.0	0	0	0	1
	bwita	0.0	0	1	0	0
seup-a$$$s6$p0	seupa	0.0	1	0	0	0
	seuwa	1.0	0	0	1	0
	seula	0.0	0	0	0	1
	seua	0.0	0	1	0	0
seup-ta$$$s6$p1	seupta	1.0	0	0	0	0
	seuwta	0.0	0	0	1	0
	seulta	0.0	0	0	0	1
	seuta	0.0	0	1	0	0
dep-a$$$s7$p0	depa	0.0	1	0	0	0
	dewa	1.0	0	0	1	0
	dela	0.0	0	0	0	1
	dea	0.0	0	1	0	0
dep-ta$$$s7$p1	depta	1.0	0	0	0	0
	dewta	0.0	0	0	1	0
	delta	0.0	0	0	0	1
	deta	0.0	0	1	0	0
dop-a$$$s8$p0	dopa	0.0	1	0	0	0
	dowa	1.0	0	0	1	0
	dola	0.0	0	0	0	1
	doa	0.0	0	1	0	0
dop-ta$$$s8$p1	dopta	1.0	0	0	0	0
	dowta	0.0	0	0	1	0
	dolta	0.0	0	0	0	1
	dota	0.0	0	1	0	0
baep-a$$$s9$p0	baepa	0.0	1	0	0	0
	baewa	1.0	0	0	1	0
	baela	0.0	0	0	0	1
	baea	0.0	0	1	0	0
baep-ta$$$s9$p1	baepta	1.0	0	0	0	0
	baewta	0.0	0	0	1	0
	baelta	0.0	0	0	0	1
	baeta	0.0	0	1	0	0
nep-a$$$s10$p0	nepa	0.0	1	0	0	0
	newa	1.0	0	0	1	0
	nela	0.0	0	0	0	1
	nea	0.0	0	1	0	0
nep-ta$$$s10$p1	nepta	1.0	0	0	0	0
	newta	0.0	0	0	1	0
	nelta	0.0	0	0	0	1
	neta	0.0	0	1	0	0
kkeup-a$$$s11$p0	kkeupa	0.0	1	0	0	0
	kkeuwa	1.0	0	0	1	0
	kkeula	0.0	0	0	0	1
	kkeua	0.0	0	1	0	0
kkeup-ta$$$s11$p1	kkeupta	1.0	0	0	0	0
	kkeuwta	0.0	0	0	1	0
	kkeulta	0.0	0	0	0	1
	kkeuta	0.0	0	1	0	0
moep-a$$$s12$p0	moepa	0.0	1	0	0	0
	moewa	1.0	0	0	1	0
