s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	s65	s66	s67	s68	s69	s70	s71	s72	s73	s74	s75	s76	s77	s78	s79	s80	s81	s82	s83	s84	s85	s86	s87	s88	s89	s90	s91	s92	s93	p0	p1	p2	p3	p4	p5
			*V-Obs-V	Max	ID-C	ID-lat
neop-a$$$s0$p0	neopa	0.0	1	0	0	0
	neowa	1.0	0	0	1	0
	neola	0.0	0	0	0	1
	neoa	0.0	0	1	0	0
neop-ta$$$s0$p1	neopta	1.0	0	0	0	0
	neowta	0.0	0	0	1	0
	neolta	0.0	0	0	0	1
	neota	0.0	0	1	0	0
neop-e$$$s0$p2	neope	0.0	1	0	0	0
	neowe	1.0	0	0	1	0
	neole	0.0	0	0	0	1
	neoe	0.0	0	1	0	0
neop-te$$$s0$p3	neopte	1.0	0	0	0	0
	neowte	0.0	0	0	1	0
	neolte	0.0	0	0	0	1
	neote	0.0	0	1	0	0
neop-i$$$s0$p4	neopi	0.0	1	0	0	0
	neowi	1.0	0	0	1	0
	neoli	0.0	0	0	0	1
	neoi	0.0	0	1	0	0
neop-ti$$$s0$p5	neopti	1.0	0	0	0	0
	neowti	0.0	0	0	1	0
	neolti	0.0	0	0	0	1
	neoti	0.0	0	1	0	0
ppaep-a$$$s1$p0	ppaepa	0.0	1	0	0	0
	ppaewa	1.0	0	0	1	0
	ppaela	0.0	0	0	0	1
	ppaea	0.0	0	1	0	0
ppaep-ta$$$s1$p1	ppaepta	1.0	0	0	0	0
	ppaewta	0.0	0	0	1	0
	ppaelta	0.0	0	0	0	1
	ppaeta	0.0	0	1	0	0
ppaep-e$$$s1$p2	ppaepe	0.0	1	0	0	0
	ppaewe	1.0	0	0	1	0
	ppaele	0.0	0	0	0	1
	ppaee	0.0	0	1	0	0
ppaep-te$$$s1$p3	ppaepte	1.0	0	0	0	0
	ppaewte	0.0	0	0	1	0
	ppaelte	0.0	0	0	0	1
	ppaete	0.0	0	1	0	0
ppaep-i$$$s1$p4	ppaepi	0.0	1	0	0	0
	ppaewi	1.0	0	0	1	0
	ppaeli	0.0	0	0	0	1
	ppaei	0.0	0	1	0	0
ppaep-ti$$$s1$p5	ppaepti	1.0	0	0	0	0
	ppaewti	0.0	0	0	1	0
	ppaelti	0.0	0	0	0	1
	ppaeti	0.0	0	1	0	0
sep-a$$$s2$p0	sepa	0.0	1	0	0	0
	sewa	1.0	0	0	1	0
	sela	0.0	0	0	0	1
	sea	0.0	0	1	0	0
sep-ta$$$s2$p1	septa	1.0	0	0	0	0
	sewta	0.0	0	0	1	0
	selta	0.0	0	0	0	1
	seta	0.0	0	1	0	0
sep-e$$$s2$p2	sepe	0.0	1	0	0	0
	sewe	1.0	0	0	1	0
	sele	0.0	0	0	0	1
	see	0.0	0	1	0	0
sep-te$$$s2$p3	septe	1.0	0	0	0	0
	sewte	0.0	0	0	1	0
	selte	0.0	0	0	0	1
	sete	0.0	0	1	0	0
sep-i$$$s2$p4	sepi	0.0	1	0	0	0
	sewi	1.0	0	0	1	0
	seli	0.0	0	0	0	1
	sei	0.0	0	1	0	0
sep-ti$$$s2$p5	septi	1.0	0	0	0	0
	sewti	0.0	0	0	1	0
	selti	0.0	0	0	0	1
	seti	0.0	0	1	0	0
ssep-a$$$s3$p0	ssepa	0.0	1	0	0	0
	ssewa	1.0	0	0	1	0
	ssela	0.0	0	0	0	1
	ssea	0.0	0	1	0	0
ssep-ta$$$s3$p1	ssepta	1.0	0	0	0	0
	ssewta	0.0	0	0	1	0
	sselta	0.0	0	0	0	1
	sseta	0.0	0	1	0	0
ssep-e$$$s3$p2	ssepe	0.0	1	0	0	0
	ssewe	1.0	0	0	1	0
	ssele	0.0	0	0	0	1
	ssee	0.0	0	1	0	0
ssep-te$$$s3$p3	ssepte	1.0	0	0	0	0
	ssewte	0.0	0	0	1	0
	sselte	0.0	0	0	0	1
	ssete	0.0	0	1	0	0
ssep-i$$$s3$p4	ssepi	0.0	1	0	0	0
	ssewi	1.0	0	0	1	0
	sseli	0.0	0	0	0	1
	ssei	0.0	0	1	0	0
ssep-ti$$$s3$p5	ssepti	1.0	0	0	0	0
	ssewti	0.0	0	0	1	0
	sselti	0.0	0	0	0	1
	sseti	0.0	0	1	0	0
