Input,Output,ObservedProb,ExpectedProb
neop-a,neopa,0.0,0.06497878321539963
neop-a,neowa,1.0,0.9149081980148618
neop-a,neola,0.0,0.010056509384869282
neop-a,neoa,0.0,0.010056509384869265
neop-ta,neopta,1.0,0.9883775504084472
neop-ta,neowta,0.0,0.011372441845643936
neop-ta,neolta,0.0,0.00012500387295441047
neop-ta,neota,0.0,0.00012500387295441025
neop-e,neope,0.0,0.06497878321539963
neop-e,neowe,1.0,0.9149081980148618
neop-e,neole,0.0,0.010056509384869282
neop-e,neoe,0.0,0.010056509384869265
neop-te,neopte,1.0,0.9883775504084472
neop-te,neowte,0.0,0.011372441845643936
neop-te,neolte,0.0,0.00012500387295441047
neop-te,neote,0.0,0.00012500387295441025
neop-i,neopi,0.0,0.06497878321539963
neop-i,neowi,1.0,0.9149081980148618
neop-i,neoli,0.0,0.010056509384869282
neop-i,neoi,0.0,0.010056509384869265
neop-ti,neopti,1.0,0.9883775504084472
neop-ti,neowti,0.0,0.011372441845643936
neop-ti,neolti,0.0,0.00012500387295441047
neop-ti,neoti,0.0,0.00012500387295441025
neop-o,neopo,0.0,0.06497878321539963
neop-o,neowo,1.0,0.9149081980148618
neop-o,neolo,0.0,0.010056509384869282
neop-o,neoo,0.0,0.010056509384869265
neop-to,neopto,1.0,0.9883775504084472
neop-to,neowto,0.0,0.011372441845643936
neop-to,neolto,0.0,0.00012500387295441047
neop-to,neoto,0.0,0.00012500387295441025
neop-u,neopu,0.0,0.06497878321539963
neop-u,neowu,1.0,0.9149081980148618
neop-u,neolu,0.0,0.010056509384869282
neop-u,neou,0.0,0.010056509384869265
neop-tu,neoptu,1.0,0.9883775504084472
neop-tu,neowtu,0.0,0.011372441845643936
neop-tu,neoltu,0.0,0.00012500387295441047
neop-tu,neotu,0.0,0.00012500387295441025
ppaep-a,ppaepa,0.0,0.06497878321539963
ppaep-a,ppaewa,1.0,0.9149081980148618
ppaep-a,ppaela,0.0,0.010056509384869282
ppaep-a,ppaea,0.0,0.010056509384869265
ppaep-ta,ppaepta,1.0,0.9883775504084472
ppaep-ta,ppaewta,0.0,0.011372441845643936
ppaep-ta,ppaelta,0.0,0.00012500387295441047
ppaep-ta,ppaeta,0.0,0.00012500387295441025
ppaep-e,ppaepe,0.0,0.06497878321539963
ppaep-e,ppaewe,1.0,0.9149081980148618
ppaep-e,ppaele,0.0,0.010056509384869282
ppaep-e,ppaee,0.0,0.010056509384869265
ppaep-te,ppaepte,1.0,0.9883775504084472
ppaep-te,ppaewte,0.0,0.011372441845643936
ppaep-te,ppaelte,0.0,0.00012500387295441047
ppaep-te,ppaete,0.0,0.00012500387295441025
ppaep-i,ppaepi,0.0,0.06497878321539963
ppaep-i,ppaewi,1.0,0.9149081980148618
ppaep-i,ppaeli,0.0,0.010056509384869282
