Input,Output,ObservedProb,ExpectedProb
neop-a,neopa,0.0,0.1808510638095683
neop-a,neowa,1.0,0.7127659608964784
neop-a,neola,0.0,0.05319148764697659
neop-a,neoa,0.0,0.05319148764697659
neop-ta,neopta,1.0,0.9680851034051241
neop-ta,neowta,0.0,0.010638298026325547
neop-ta,neolta,0.0,0.01063829928427514
neop-ta,neota,0.0,0.01063829928427514
ppaep-a,ppaepa,0.0,0.1808510638095683
ppaep-a,ppaewa,1.0,0.7127659608964784
ppaep-a,ppaela,0.0,0.05319148764697659
ppaep-a,ppaea,0.0,0.05319148764697659
ppaep-ta,ppaepta,1.0,0.9680851034051241
ppaep-ta,ppaewta,0.0,0.010638298026325547
ppaep-ta,ppaelta,0.0,0.01063829928427514
ppaep-ta,ppaeta,0.0,0.01063829928427514
sep-a,sepa,0.0,0.1808510638095683
sep-a,sewa,1.0,0.7127659608964784
sep-a,sela,0.0,0.05319148764697659
sep-a,sea,0.0,0.05319148764697659
sep-ta,septa,1.0,0.9680851034051241
sep-ta,sewta,0.0,0.010638298026325547
sep-ta,selta,0.0,0.01063829928427514
sep-ta,seta,0.0,0.01063829928427514
ssep-a,ssepa,0.0,0.1808510638095683
ssep-a,ssewa,1.0,0.7127659608964784
ssep-a,ssela,0.0,0.05319148764697659
ssep-a,ssea,0.0,0.05319148764697659
ssep-ta,ssepta,1.0,0.9680851034051241
ssep-ta,ssewta,0.0,0.010638298026325547
ssep-ta,sselta,0.0,0.01063829928427514
ssep-ta,sseta,0.0,0.01063829928427514
gop-a,gopa,0.0,0.1808510638095683
gop-a,gowa,1.0,0.7127659608964784
gop-a,gola,0.0,0.05319148764697659
gop-a,goa,0.0,0.05319148764697659
gop-ta,gopta,1.0,0.9680851034051241
gop-ta,gowta,0.0,0.010638298026325547
gop-ta,golta,0.0,0.01063829928427514
gop-ta,gota,0.0,0.01063829928427514
bwip-a,bwipa,0.0,0.1808510638095683
bwip-a,bwiwa,1.0,0.7127659608964784
bwip-a,bwila,0.0,0.05319148764697659
bwip-a,bwia,0.0,0.05319148764697659
bwip-ta,bwipta,1.0,0.9680851034051241
bwip-ta,bwiwta,0.0,0.010638298026325547
bwip-ta,bwilta,0.0,0.01063829928427514
bwip-ta,bwita,0.0,0.01063829928427514
seup-a,seupa,0.0,0.1808510638095683
seup-a,seuwa,1.0,0.7127659608964784
seup-a,seula,0.0,0.05319148764697659
seup-a,seua,0.0,0.05319148764697659
seup-ta,seupta,1.0,0.9680851034051241
seup-ta,seuwta,0.0,0.010638298026325547
seup-ta,seulta,0.0,0.01063829928427514
seup-ta,seuta,0.0,0.01063829928427514
dep-a,depa,0.0,0.1808510638095683
dep-a,dewa,1.0,0.7127659608964784
dep-a,dela,0.0,0.05319148764697659
dep-a,dea,0.0,0.05319148764697659
dep-ta,depta,1.0,0.9680851034051241
dep-ta,dewta,0.0,0.010638298026325547
dep-ta,delta,0.0,0.01063829928427514
dep-ta,deta,0.0,0.01063829928427514
dop-a,dopa,0.0,0.1808510638095683
dop-a,dowa,1.0,0.7127659608964784
dop-a,dola,0.0,0.05319148764697659
dop-a,doa,0.0,0.05319148764697659
dop-ta,dopta,1.0,0.9680851034051241
dop-ta,dowta,0.0,0.010638298026325547
dop-ta,dolta,0.0,0.01063829928427514
dop-ta,dota,0.0,0.01063829928427514
baep-a,baepa,0.0,0.1808510638095683
baep-a,baewa,1.0,0.7127659608964784
baep-a,baela,0.0,0.05319148764697659
baep-a,baea,0.0,0.05319148764697659
baep-ta,baepta,1.0,0.9680851034051241
baep-ta,baewta,0.0,0.010638298026325547
baep-ta,baelta,0.0,0.01063829928427514
baep-ta,baeta,0.0,0.01063829928427514
nep-a,nepa,0.0,0.1808510638095683
nep-a,newa,1.0,0.7127659608964784
nep-a,nela,0.0,0.05319148764697659
nep-a,nea,0.0,0.05319148764697659
nep-ta,nepta,1.0,0.9680851034051241
nep-ta,newta,0.0,0.010638298026325547
nep-ta,nelta,0.0,0.01063829928427514
nep-ta,neta,0.0,0.01063829928427514
kkeup-a,kkeupa,0.0,0.1808510638095683
kkeup-a,kkeuwa,1.0,0.7127659608964784
kkeup-a,kkeula,0.0,0.05319148764697659
kkeup-a,kkeua,0.0,0.05319148764697659
kkeup-ta,kkeupta,1.0,0.9680851034051241
kkeup-ta,kkeuwta,0.0,0.010638298026325547
kkeup-ta,kkeulta,0.0,0.01063829928427514
kkeup-ta,kkeuta,0.0,0.01063829928427514
moep-a,moepa,0.0,0.1808510638095683
moep-a,moewa,1.0,0.7127659608964784
moep-a,moela,0.0,0.05319148764697659
moep-a,moea,0.0,0.05319148764697659
moep-ta,moepta,1.0,0.9680851034051241
moep-ta,moewta,0.0,0.010638298026325547
moep-ta,moelta,0.0,0.01063829928427514
moep-ta,moeta,0.0,0.01063829928427514
kkip-a,kkipa,0.0,0.1808510638095683
kkip-a,kkiwa,1.0,0.7127659608964784
kkip-a,kkila,0.0,0.05319148764697659
kkip-a,kkia,0.0,0.05319148764697659
kkip-ta,kkipta,1.0,0.9680851034051241
kkip-ta,kkiwta,0.0,0.010638298026325547
kkip-ta,kkilta,0.0,0.01063829928427514
kkip-ta,kkita,0.0,0.01063829928427514
kkop-a,kkopa,0.0,0.1808510638095683
kkop-a,kkowa,1.0,0.7127659608964784
kkop-a,kkola,0.0,0.05319148764697659
kkop-a,kkoa,0.0,0.05319148764697659
kkop-ta,kkopta,1.0,0.9680851034051241
kkop-ta,kkowta,0.0,0.010638298026325547
kkop-ta,kkolta,0.0,0.01063829928427514
kkop-ta,kkota,0.0,0.01063829928427514
ssaep-a,ssaepa,0.0,0.1808510638095683
ssaep-a,ssaewa,1.0,0.7127659608964784
ssaep-a,ssaela,0.0,0.05319148764697659
ssaep-a,ssaea,0.0,0.05319148764697659
ssaep-ta,ssaepta,1.0,0.9680851034051241
ssaep-ta,ssaewta,0.0,0.010638298026325547
ssaep-ta,ssaelta,0.0,0.01063829928427514
ssaep-ta,ssaeta,0.0,0.01063829928427514
chap-a,chapa,0.0,0.1808510638095683
chap-a,chawa,1.0,0.7127659608964784
chap-a,chala,0.0,0.05319148764697659
chap-a,chaa,0.0,0.05319148764697659
chap-ta,chapta,1.0,0.9680851034051241
chap-ta,chawta,0.0,0.010638298026325547
chap-ta,chalta,0.0,0.01063829928427514
chap-ta,chata,0.0,0.01063829928427514
rep-a,repa,0.0,0.1808510638095683
rep-a,rewa,1.0,0.7127659608964784
rep-a,rela,0.0,0.05319148764697659
rep-a,rea,0.0,0.05319148764697659
rep-ta,repta,1.0,0.9680851034051241
rep-ta,rewta,0.0,0.010638298026325547
rep-ta,relta,0.0,0.01063829928427514
rep-ta,reta,0.0,0.01063829928427514
kop-a,kopa,0.0,0.1808510638095683
kop-a,kowa,1.0,0.7127659608964784
kop-a,kola,0.0,0.05319148764697659
kop-a,koa,0.0,0.05319148764697659
kop-ta,kopta,1.0,0.9680851034051241
kop-ta,kowta,0.0,0.010638298026325547
kop-ta,kolta,0.0,0.01063829928427514
kop-ta,kota,0.0,0.01063829928427514
teup-a,teupa,0.0,0.1808510638095683
teup-a,teuwa,1.0,0.7127659608964784
teup-a,teula,0.0,0.05319148764697659
teup-a,teua,0.0,0.05319148764697659
teup-ta,teupta,1.0,0.9680851034051241
teup-ta,teuwta,0.0,0.010638298026325547
teup-ta,teulta,0.0,0.01063829928427514
teup-ta,teuta,0.0,0.01063829928427514
cheop-a,cheopa,0.0,0.1808510638095683
cheop-a,cheowa,1.0,0.7127659608964784
cheop-a,cheola,0.0,0.05319148764697659
cheop-a,cheoa,0.0,0.05319148764697659
cheop-ta,cheopta,1.0,0.9680851034051241
cheop-ta,cheowta,0.0,0.010638298026325547
cheop-ta,cheolta,0.0,0.01063829928427514
cheop-ta,cheota,0.0,0.01063829928427514
tep-a,tepa,0.0,0.1808510638095683
tep-a,tewa,1.0,0.7127659608964784
tep-a,tela,0.0,0.05319148764697659
tep-a,tea,0.0,0.05319148764697659
tep-ta,tepta,1.0,0.9680851034051241
tep-ta,tewta,0.0,0.010638298026325547
tep-ta,telta,0.0,0.01063829928427514
tep-ta,teta,0.0,0.01063829928427514
heup-a,heupa,0.0,0.1808510638095683
heup-a,heuwa,1.0,0.7127659608964784
heup-a,heula,0.0,0.05319148764697659
heup-a,heua,0.0,0.05319148764697659
heup-ta,heupta,1.0,0.9680851034051241
heup-ta,heuwta,0.0,0.010638298026325547
heup-ta,heulta,0.0,0.01063829928427514
heup-ta,heuta,0.0,0.01063829928427514
rwip-a,rwipa,0.0,0.1808510638095683
rwip-a,rwiwa,1.0,0.7127659608964784
rwip-a,rwila,0.0,0.05319148764697659
rwip-a,rwia,0.0,0.05319148764697659
rwip-ta,rwipta,1.0,0.9680851034051241
rwip-ta,rwiwta,0.0,0.010638298026325547
rwip-ta,rwilta,0.0,0.01063829928427514
rwip-ta,rwita,0.0,0.01063829928427514
jjwip-a,jjwipa,0.0,0.1808510638095683
jjwip-a,jjwiwa,1.0,0.7127659608964784
jjwip-a,jjwila,0.0,0.05319148764697659
jjwip-a,jjwia,0.0,0.05319148764697659
jjwip-ta,jjwipta,1.0,0.9680851034051241
jjwip-ta,jjwiwta,0.0,0.010638298026325547
jjwip-ta,jjwilta,0.0,0.01063829928427514
jjwip-ta,jjwita,0.0,0.01063829928427514
paep-a,paepa,0.0,0.1808510638095683
paep-a,paewa,1.0,0.7127659608964784
paep-a,paela,0.0,0.05319148764697659
paep-a,paea,0.0,0.05319148764697659
paep-ta,paepta,1.0,0.9680851034051241
paep-ta,paewta,0.0,0.010638298026325547
paep-ta,paelta,0.0,0.01063829928427514
paep-ta,paeta,0.0,0.01063829928427514
bop-a,bopa,0.0,0.1808510638095683
bop-a,bowa,1.0,0.7127659608964784
bop-a,bola,0.0,0.05319148764697659
bop-a,boa,0.0,0.05319148764697659
bop-ta,bopta,1.0,0.9680851034051241
bop-ta,bowta,0.0,0.010638298026325547
bop-ta,bolta,0.0,0.01063829928427514
bop-ta,bota,0.0,0.01063829928427514
bup-a,bupa,0.0,0.1808510638095683
bup-a,buwa,1.0,0.7127659608964784
bup-a,bula,0.0,0.05319148764697659
bup-a,bua,0.0,0.05319148764697659
bup-ta,bupta,1.0,0.9680851034051241
bup-ta,buwta,0.0,0.010638298026325547
bup-ta,bulta,0.0,0.01063829928427514
bup-ta,buta,0.0,0.01063829928427514
mip-a,mipa,0.0,0.1808510638095683
mip-a,miwa,1.0,0.7127659608964784
mip-a,mila,0.0,0.05319148764697659
mip-a,mia,0.0,0.05319148764697659
mip-ta,mipta,1.0,0.9680851034051241
mip-ta,miwta,0.0,0.010638298026325547
mip-ta,milta,0.0,0.01063829928427514
mip-ta,mita,0.0,0.01063829928427514
dwip-a,dwipa,0.0,0.1808510638095683
dwip-a,dwiwa,1.0,0.7127659608964784
dwip-a,dwila,0.0,0.05319148764697659
dwip-a,dwia,0.0,0.05319148764697659
dwip-ta,dwipta,1.0,0.9680851034051241
dwip-ta,dwiwta,0.0,0.010638298026325547
dwip-ta,dwilta,0.0,0.01063829928427514
dwip-ta,dwita,0.0,0.01063829928427514
choep-a,choepa,0.0,0.1808510638095683
choep-a,choewa,1.0,0.7127659608964784
choep-a,choela,0.0,0.05319148764697659
choep-a,choea,0.0,0.05319148764697659
choep-ta,choepta,1.0,0.9680851034051241
choep-ta,choewta,0.0,0.010638298026325547
choep-ta,choelta,0.0,0.01063829928427514
choep-ta,choeta,0.0,0.01063829928427514
sop-a,sopa,0.0,0.1808510638095683
sop-a,sowa,1.0,0.7127659608964784
sop-a,sola,0.0,0.05319148764697659
sop-a,soa,0.0,0.05319148764697659
sop-ta,sopta,1.0,0.9680851034051241
sop-ta,sowta,0.0,0.010638298026325547
sop-ta,solta,0.0,0.01063829928427514
sop-ta,sota,0.0,0.01063829928427514
swip-a,swipa,0.0,0.1808510638095683
swip-a,swiwa,1.0,0.7127659608964784
swip-a,swila,0.0,0.05319148764697659
swip-a,swia,0.0,0.05319148764697659
swip-ta,swipta,1.0,0.9680851034051241
swip-ta,swiwta,0.0,0.010638298026325547
swip-ta,swilta,0.0,0.01063829928427514
swip-ta,swita,0.0,0.01063829928427514
pwip-a,pwipa,0.0,0.1808510638095683
pwip-a,pwiwa,1.0,0.7127659608964784
pwip-a,pwila,0.0,0.05319148764697659
pwip-a,pwia,0.0,0.05319148764697659
pwip-ta,pwipta,1.0,0.9680851034051241
pwip-ta,pwiwta,0.0,0.010638298026325547
pwip-ta,pwilta,0.0,0.01063829928427514
pwip-ta,pwita,0.0,0.01063829928427514
jjeop-a,jjeopa,0.0,0.1808510638095683
jjeop-a,jjeowa,1.0,0.7127659608964784
jjeop-a,jjeola,0.0,0.05319148764697659
jjeop-a,jjeoa,0.0,0.05319148764697659
jjeop-ta,jjeopta,1.0,0.9680851034051241
jjeop-ta,jjeowta,0.0,0.010638298026325547
jjeop-ta,jjeolta,0.0,0.01063829928427514
jjeop-ta,jjeota,0.0,0.01063829928427514
keop-a,keopa,0.0,0.1808510638095683
keop-a,keowa,1.0,0.7127659608964784
keop-a,keola,0.0,0.05319148764697659
keop-a,keoa,0.0,0.05319148764697659
keop-ta,keopta,1.0,0.9680851034051241
keop-ta,keowta,0.0,0.010638298026325547
keop-ta,keolta,0.0,0.01063829928427514
keop-ta,keota,0.0,0.01063829928427514
soep-a,soepa,0.0,0.1808510638095683
soep-a,soewa,1.0,0.7127659608964784
soep-a,soela,0.0,0.05319148764697659
soep-a,soea,0.0,0.05319148764697659
soep-ta,soepta,1.0,0.9680851034051241
soep-ta,soewta,0.0,0.010638298026325547
soep-ta,soelta,0.0,0.01063829928427514
soep-ta,soeta,0.0,0.01063829928427514
ssap-a,ssapa,0.0,0.1808510638095683
ssap-a,ssawa,1.0,0.7127659608964784
ssap-a,ssala,0.0,0.05319148764697659
ssap-a,ssaa,0.0,0.05319148764697659
ssap-ta,ssapta,1.0,0.9680851034051241
ssap-ta,ssawta,0.0,0.010638298026325547
ssap-ta,ssalta,0.0,0.01063829928427514
ssap-ta,ssata,0.0,0.01063829928427514
taep-a,taepa,0.0,0.1808510638095683
taep-a,taewa,1.0,0.7127659608964784
taep-a,taela,0.0,0.05319148764697659
taep-a,taea,0.0,0.05319148764697659
taep-ta,taepta,1.0,0.9680851034051241
taep-ta,taewta,0.0,0.010638298026325547
taep-ta,taelta,0.0,0.01063829928427514
taep-ta,taeta,0.0,0.01063829928427514
mwip-a,mwipa,0.0,0.1808510638095683
mwip-a,mwiwa,1.0,0.7127659608964784
mwip-a,mwila,0.0,0.05319148764697659
mwip-a,mwia,0.0,0.05319148764697659
mwip-ta,mwipta,1.0,0.9680851034051241
mwip-ta,mwiwta,0.0,0.010638298026325547
mwip-ta,mwilta,0.0,0.01063829928427514
mwip-ta,mwita,0.0,0.01063829928427514
rup-a,rupa,0.0,0.1808510638095683
rup-a,ruwa,1.0,0.7127659608964784
rup-a,rula,0.0,0.05319148764697659
rup-a,rua,0.0,0.05319148764697659
rup-ta,rupta,1.0,0.9680851034051241
rup-ta,ruwta,0.0,0.010638298026325547
rup-ta,rulta,0.0,0.01063829928427514
rup-ta,ruta,0.0,0.01063829928427514
chwip-a,chwipa,0.0,0.1808510638095683
chwip-a,chwiwa,1.0,0.7127659608964784
chwip-a,chwila,0.0,0.05319148764697659
chwip-a,chwia,0.0,0.05319148764697659
chwip-ta,chwipta,1.0,0.9680851034051241
chwip-ta,chwiwta,0.0,0.010638298026325547
chwip-ta,chwilta,0.0,0.01063829928427514
chwip-ta,chwita,0.0,0.01063829928427514
bep-a,bepa,0.0,0.1808510638095683
bep-a,bewa,1.0,0.7127659608964784
bep-a,bela,0.0,0.05319148764697659
bep-a,bea,0.0,0.05319148764697659
bep-ta,bepta,1.0,0.9680851034051241
bep-ta,bewta,0.0,0.010638298026325547
bep-ta,belta,0.0,0.01063829928427514
bep-ta,beta,0.0,0.01063829928427514
peup-a,peupa,0.0,0.1808510638095683
peup-a,peuwa,1.0,0.7127659608964784
peup-a,peula,0.0,0.05319148764697659
peup-a,peua,0.0,0.05319148764697659
peup-ta,peupta,1.0,0.9680851034051241
peup-ta,peuwta,0.0,0.010638298026325547
peup-ta,peulta,0.0,0.01063829928427514
peup-ta,peuta,0.0,0.01063829928427514
ppep-a,ppepa,0.0,0.1808510638095683
ppep-a,ppewa,1.0,0.7127659608964784
ppep-a,ppela,0.0,0.05319148764697659
ppep-a,ppea,0.0,0.05319148764697659
ppep-ta,ppepta,1.0,0.9680851034051241
ppep-ta,ppewta,0.0,0.010638298026325547
ppep-ta,ppelta,0.0,0.01063829928427514
ppep-ta,ppeta,0.0,0.01063829928427514
chop-a,chopa,0.0,0.1808510638095683
chop-a,chowa,1.0,0.7127659608964784
chop-a,chola,0.0,0.05319148764697659
chop-a,choa,0.0,0.05319148764697659
chop-ta,chopta,1.0,0.9680851034051241
chop-ta,chowta,0.0,0.010638298026325547
chop-ta,cholta,0.0,0.01063829928427514
chop-ta,chota,0.0,0.01063829928427514
keup-a,keupa,0.0,0.1808510638095683
keup-a,keuwa,1.0,0.7127659608964784
keup-a,keula,0.0,0.05319148764697659
keup-a,keua,0.0,0.05319148764697659
keup-ta,keupta,1.0,0.9680851034051241
keup-ta,keuwta,0.0,0.010638298026325547
keup-ta,keulta,0.0,0.01063829928427514
keup-ta,keuta,0.0,0.01063829928427514
geup-a,geupa,0.0,0.1808510638095683
geup-a,geuwa,1.0,0.7127659608964784
geup-a,geula,0.0,0.05319148764697659
geup-a,geua,0.0,0.05319148764697659
geup-ta,geupta,1.0,0.9680851034051241
geup-ta,geuwta,0.0,0.010638298026325547
geup-ta,geulta,0.0,0.01063829928427514
geup-ta,geuta,0.0,0.01063829928427514
nip-a,nipa,0.0,0.1808510638095683
nip-a,niwa,1.0,0.7127659608964784
nip-a,nila,0.0,0.05319148764697659
nip-a,nia,0.0,0.05319148764697659
nip-ta,nipta,1.0,0.9680851034051241
nip-ta,niwta,0.0,0.010638298026325547
nip-ta,nilta,0.0,0.01063829928427514
nip-ta,nita,0.0,0.01063829928427514
ppip-a,ppipa,0.0,0.1808510638095683
ppip-a,ppiwa,1.0,0.7127659608964784
ppip-a,ppila,0.0,0.05319148764697659
ppip-a,ppia,0.0,0.05319148764697659
ppip-ta,ppipta,1.0,0.9680851034051241
ppip-ta,ppiwta,0.0,0.010638298026325547
ppip-ta,ppilta,0.0,0.01063829928427514
ppip-ta,ppita,0.0,0.01063829928427514
saep-a,saepa,0.0,0.1808510638095683
saep-a,saewa,1.0,0.7127659608964784
saep-a,saela,0.0,0.05319148764697659
saep-a,saea,0.0,0.05319148764697659
saep-ta,saepta,1.0,0.9680851034051241
saep-ta,saewta,0.0,0.010638298026325547
saep-ta,saelta,0.0,0.01063829928427514
saep-ta,saeta,0.0,0.01063829928427514
noep-a,noepa,0.0,0.1808510638095683
noep-a,noewa,1.0,0.7127659608964784
noep-a,noela,0.0,0.05319148764697659
noep-a,noea,0.0,0.05319148764697659
noep-ta,noepta,1.0,0.9680851034051241
noep-ta,noewta,0.0,0.010638298026325547
noep-ta,noelta,0.0,0.01063829928427514
noep-ta,noeta,0.0,0.01063829928427514
kkap-a,kkapa,0.0,0.1808510638095683
kkap-a,kkawa,1.0,0.7127659608964784
kkap-a,kkala,0.0,0.05319148764697659
kkap-a,kkaa,0.0,0.05319148764697659
kkap-ta,kkapta,1.0,0.9680851034051241
kkap-ta,kkawta,0.0,0.010638298026325547
kkap-ta,kkalta,0.0,0.01063829928427514
kkap-ta,kkata,0.0,0.01063829928427514
jjup-a,jjupa,0.0,0.1808510638095683
jjup-a,jjuwa,1.0,0.7127659608964784
jjup-a,jjula,0.0,0.05319148764697659
jjup-a,jjua,0.0,0.05319148764697659
jjup-ta,jjupta,1.0,0.9680851034051241
jjup-ta,jjuwta,0.0,0.010638298026325547
jjup-ta,jjulta,0.0,0.01063829928427514
jjup-ta,jjuta,0.0,0.01063829928427514
gwip-a,gwipa,0.0,0.1808510638095683
gwip-a,gwiwa,1.0,0.7127659608964784
gwip-a,gwila,0.0,0.05319148764697659
gwip-a,gwia,0.0,0.05319148764697659
gwip-ta,gwipta,1.0,0.9680851034051241
gwip-ta,gwiwta,0.0,0.010638298026325547
gwip-ta,gwilta,0.0,0.01063829928427514
gwip-ta,gwita,0.0,0.01063829928427514
jjep-a,jjepa,0.0,0.1808510638095683
jjep-a,jjewa,1.0,0.7127659608964784
jjep-a,jjela,0.0,0.05319148764697659
jjep-a,jjea,0.0,0.05319148764697659
jjep-ta,jjepta,1.0,0.9680851034051241
jjep-ta,jjewta,0.0,0.010638298026325547
jjep-ta,jjelta,0.0,0.01063829928427514
jjep-ta,jjeta,0.0,0.01063829928427514
meup-a,meupa,0.0,0.1808510638095683
meup-a,meuwa,1.0,0.7127659608964784
meup-a,meula,0.0,0.05319148764697659
meup-a,meua,0.0,0.05319148764697659
meup-ta,meupta,1.0,0.9680851034051241
meup-ta,meuwta,0.0,0.010638298026325547
meup-ta,meulta,0.0,0.01063829928427514
meup-ta,meuta,0.0,0.01063829928427514
ttop-a,ttopa,0.0,0.1808510638095683
ttop-a,ttowa,1.0,0.7127659608964784
ttop-a,ttola,0.0,0.05319148764697659
ttop-a,ttoa,0.0,0.05319148764697659
ttop-ta,ttopta,1.0,0.9680851034051241
ttop-ta,ttowta,0.0,0.010638298026325547
ttop-ta,ttolta,0.0,0.01063829928427514
ttop-ta,ttota,0.0,0.01063829928427514
jep-a,jepa,0.0,0.1808510638095683
jep-a,jewa,1.0,0.7127659608964784
jep-a,jela,0.0,0.05319148764697659
jep-a,jea,0.0,0.05319148764697659
jep-ta,jepta,1.0,0.9680851034051241
jep-ta,jewta,0.0,0.010638298026325547
jep-ta,jelta,0.0,0.01063829928427514
jep-ta,jeta,0.0,0.01063829928427514
daep-a,daepa,0.0,0.1808510638095683
daep-a,daewa,1.0,0.7127659608964784
daep-a,daela,0.0,0.05319148764697659
daep-a,daea,0.0,0.05319148764697659
daep-ta,daepta,1.0,0.9680851034051241
daep-ta,daewta,0.0,0.010638298026325547
daep-ta,daelta,0.0,0.01063829928427514
daep-ta,daeta,0.0,0.01063829928427514
joep-a,joepa,0.0,0.1808510638095683
joep-a,joewa,1.0,0.7127659608964784
joep-a,joela,0.0,0.05319148764697659
joep-a,joea,0.0,0.05319148764697659
joep-ta,joepta,1.0,0.9680851034051241
joep-ta,joewta,0.0,0.010638298026325547
joep-ta,joelta,0.0,0.01063829928427514
joep-ta,joeta,0.0,0.01063829928427514
mop-a,mopa,0.0,0.1808510638095683
mop-a,mowa,1.0,0.7127659608964784
mop-a,mola,0.0,0.05319148764697659
mop-a,moa,0.0,0.05319148764697659
mop-ta,mopta,1.0,0.9680851034051241
mop-ta,mowta,0.0,0.010638298026325547
mop-ta,molta,0.0,0.01063829928427514
mop-ta,mota,0.0,0.01063829928427514
mep-a,mepa,0.0,0.1808510638095683
mep-a,mewa,1.0,0.7127659608964784
mep-a,mela,0.0,0.05319148764697659
mep-a,mea,0.0,0.05319148764697659
mep-ta,mepta,1.0,0.9680851034051241
mep-ta,mewta,0.0,0.010638298026325547
mep-ta,melta,0.0,0.01063829928427514
mep-ta,meta,0.0,0.01063829928427514
ssoep-a,ssoepa,0.0,0.1808510638095683
ssoep-a,ssoewa,1.0,0.7127659608964784
ssoep-a,ssoela,0.0,0.05319148764697659
ssoep-a,ssoea,0.0,0.05319148764697659
ssoep-ta,ssoepta,1.0,0.9680851034051241
ssoep-ta,ssoewta,0.0,0.010638298026325547
ssoep-ta,ssoelta,0.0,0.01063829928427514
ssoep-ta,ssoeta,0.0,0.01063829928427514
ttaep-a,ttaepa,0.0,0.1808510638095683
ttaep-a,ttaewa,1.0,0.7127659608964784
ttaep-a,ttaela,0.0,0.05319148764697659
ttaep-a,ttaea,0.0,0.05319148764697659
ttaep-ta,ttaepta,1.0,0.9680851034051241
ttaep-ta,ttaewta,0.0,0.010638298026325547
ttaep-ta,ttaelta,0.0,0.01063829928427514
ttaep-ta,ttaeta,0.0,0.01063829928427514
reop-a,reopa,0.0,0.1808510638095683
reop-a,reowa,1.0,0.7127659608964784
